attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,prediction,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,train_majority_count,train_majority_share,accuracy,weighted_f1,macro_f1
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,1,5,Timber,909,225,460,116,558,0.6138613861386139,0.5911111111111111,0.439205462445686,0.1857541899441341
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,uniform_random_group_cv,GroupKFold,1,5,,909,225,460,116,558,0.6138613861386139,0.13777777777777778,0.193106561055279,0.09157587426818196
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,stratified_random_group_cv,GroupKFold,1,5,,909,225,460,116,558,0.6138613861386139,0.4311111111111111,0.42758643281326153,0.24724320611014772
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,2,5,Timber,897,237,461,115,542,0.6042363433667781,0.6286919831223629,0.4853632408561247,0.1544041450777202
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,uniform_random_group_cv,GroupKFold,2,5,,897,237,461,115,542,0.6042363433667781,0.14767932489451477,0.19786081512836734,0.10477343129145787
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,stratified_random_group_cv,GroupKFold,2,5,,897,237,461,115,542,0.6042363433667781,0.4641350210970464,0.46472628358406226,0.21892561700619875
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,3,5,Timber,931,203,461,115,570,0.6122448979591837,0.5960591133004927,0.44520464635407164,0.14938271604938272
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,uniform_random_group_cv,GroupKFold,3,5,,931,203,461,115,570,0.6122448979591837,0.1330049261083744,0.18002238613219096,0.0885119719965455
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,stratified_random_group_cv,GroupKFold,3,5,,931,203,461,115,570,0.6122448979591837,0.4187192118226601,0.4074299161902167,0.19076585472898838
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,4,5,Timber,918,216,461,115,576,0.6274509803921569,0.5324074074074074,0.3699507664764462,0.17371601208459214
