attribute,target_column,target_file,task_type,strategy,splitter,n_folds,n_labels,n_assets,prediction,train_majority_share_mean,train_majority_share_std,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,1134,576,Timber,0.6091523651581797,0.012957726043274938,0.6064128162689073,0.04960327194820192,0.4590212952337399,0.060821836567998465,0.16513967554196396,0.013185797597041048
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,stratified_random_group_cv,GroupKFold,5,1134,576,,0.6091523651581797,0.012957726043274938,0.42885953052479914,0.01922326364208588,0.4273987881960254,0.024891552584097164,0.21305043162081141,0.02426045686537829
attr_abutment_material,attr_abutment_material,data/processed/train/attr_abutment_material_train.csv,classification,uniform_random_group_cv,GroupKFold,5,1134,576,,0.6091523651581797,0.012957726043274938,0.14679444059729865,0.01012667017774408,0.20029935928369008,0.013694469820139197,0.09506695256655352,0.009493129507411248
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,1166,614,Beam,0.8447685945471022,0.00036248384232870915,0.8447709181614762,0.0014452881405671025,0.7736879540588827,0.0020402012743895525,0.18317077645281393,0.00017007500134895716
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,stratified_random_group_cv,StratifiedGroupKFold,5,1166,614,,0.8447685945471022,0.00036248384232870915,0.738421187777411,0.002751046057508679,0.7281238276155062,0.002891028308927367,0.18647682813169095,0.006320031241984847
attr_bridge_type,attr_bridge_type,data/processed/train/attr_bridge_type_train.csv,classification,uniform_random_group_cv,StratifiedGroupKFold,5,1166,614,,0.8447685945471022,0.00036248384232870915,0.1792560801144492,0.015325621448746305,0.26982962628792484,0.017783316746227573,0.0943777457277733,0.016313255567314607
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,majority_class_group_cv,GroupKFold,5,2935,1856,Timber,0.9297971924401986,0.003228394933192903,0.9295669403528736,0.012902067619340138,0.8956823679984922,0.018852336735292744,0.2120179581816583,0.024187234610873097
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,stratified_random_group_cv,GroupKFold,5,2935,1856,,0.9297971924401986,0.003228394933192903,0.8719940398065182,0.01069237750474947,0.8682376869153409,0.017875928321391257,0.16706295618037012,0.013921133897928694
attr_decking_material,attr_decking_material,data/processed/train/attr_decking_material_train.csv,classification,uniform_random_group_cv,GroupKFold,5,2935,1856,,0.9297971924401986,0.003228394933192903,0.1802045064670042,0.00419304570838365,0.2863383943255474,0.007610348240354997,0.06975058584843007,0.004111964130683949
attr_has_edge_guard,attr_has_edge_guard,data/processed/train/attr_has_edge_guard_train.csv,classification,majority_class_group_cv,StratifiedGroupKFold,5,2587,1721,No,0.8971782209426944,0.00017944683275081683,0.8971785546253631,0.0007169384430005987,0.8485542911099546,0.0010352794553437788,0.4729014090703858,0.0001992987168543293
