attribute,model,n_shared,weighted_f1,macro_f1,low_overlap
attr_abutment_material,VLM (gemini),360,0.7263418498712617,0.3518577594207847,False
attr_abutment_material,DINOv3 + LogReg,360,0.4353642423814143,0.2011436023519975,False
attr_bridge_type,VLM (gemini),410,0.840324610052234,0.5369292595337172,False
attr_bridge_type,DINOv3 + LogReg,410,0.5414012434241989,0.27434640522875814,False
attr_decking_material,VLM (gemini),1420,0.9540839003467335,0.31566097814031696,False
attr_decking_material,DINOv3 + LogReg,1420,0.6453686826843413,0.2579520697167756,False
fall_height_bin,VLM (gemini),80,0.5094444444444444,0.29907407407407405,False
fall_height_bin,DINOv3 + LogReg,80,0.4503007518796992,0.2758145363408521,False
attr_has_edge_guard,VLM (gemini),1132,0.96822768391487,0.4845125634599319,False
attr_has_edge_guard,DINOv3 + LogReg,1132,0.6444759394526282,0.30667473280903407,False
attr_has_pedestrian_railing,VLM (gemini),2484,0.913820447103016,0.5759898263825555,False
attr_has_pedestrian_railing,DINOv3 + LogReg,2484,0.5951571806643553,0.3445086676428375,False
length_bin,VLM (gemini),1304,0.6091914192013923,0.4161675522119929,False
length_bin,DINOv3 + LogReg,1304,0.3258896783252432,0.14726504783597186,False
attr_material_frame_tank_body,VLM (gemini),820,0.5743283818989849,0.30353492807189814,False
attr_material_frame_tank_body,DINOv3 + LogReg,820,0.49497187626044686,0.26546309991355205,False
steps_bin,VLM (gemini),40,0.5543650793650794,0.5423280423280423,False
steps_bin,DINOv3 + LogReg,40,0.23512820512820515,0.16858974358974357,False
attr_structure_material,VLM (gemini),1334,0.9555133131573155,0.6241455711340542,False
attr_structure_material,DINOv3 + LogReg,1334,0.6126190029443521,0.28494638907713565,False
attr_structure_position,VLM (gemini),770,0.8283397903100146,0.5569237669035849,False
attr_structure_position,DINOv3 + LogReg,770,0.601672392124005,0.38337796713329275,False
width_bin,VLM (gemini),1290,0.5532410281839097,0.33197316380016595,False
width_bin,DINOv3 + LogReg,1290,0.42420776365666957,0.19573297904491746,False
