asset_id,timestamp,model,response,material_frame_tank_body_value,material_frame_tank_body_confidence
50514,2026-05-21T23:52:02.812401,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
50723,2026-05-21T23:52:23.669907,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 1.0
    }
}",Concrete,1.0
50805,2026-05-21T23:52:42.472155,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
51270,2026-05-21T23:53:01.999495,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
51458,2026-05-21T23:53:26.372213,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 1.0
    }
}",Concrete,1.0
51536,2026-05-21T23:54:00.637095,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Metal"",
        ""confidence"": 0.9
    }
}",Metal,0.9
51537,2026-05-21T23:54:27.300312,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
51695,2026-05-21T23:54:55.877899,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}",Concrete,0.9
51804,2026-05-21T23:55:25.884198,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
52162,2026-05-21T23:55:47.386668,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
52248,2026-05-21T23:56:06.731482,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
52622,2026-05-21T23:56:46.345688,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
52952,2026-05-21T23:57:05.406543,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
53110,2026-05-21T23:57:26.430914,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
53111,2026-05-21T23:57:56.577101,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
53212,2026-05-21T23:58:15.144156,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
53214,2026-05-21T23:58:43.200568,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95
53221,2026-05-21T23:59:02.286854,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0
53222,2026-05-21T23:59:33.930586,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}",Concrete,0.95
53428,2026-05-21T23:59:54.773486,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}",Concrete,0.95
