asset_id,timestamp,model,response,has_pedestrian_railing_value,has_pedestrian_railing_confidence,parse_error
46496,2026-05-22T06:50:49.927076,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",No railings,1.0,
47049,2026-05-22T06:51:22.077323,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
47050,2026-05-22T06:51:44.077133,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47053,2026-05-22T06:52:00.721514,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
47054,2026-05-22T06:52:26.804202,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 0.9
    }
}
```",2 railings,0.9,
47184,2026-05-22T06:52:45.726852,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",2 railings,1.0,
48269,2026-05-22T06:53:02.412917,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48347,2026-05-22T06:53:17.882239,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48394,2026-05-22T06:53:32.521865,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
48799,2026-05-22T06:53:48.906008,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",1 railing,1.0,
48937,2026-05-22T06:54:05.486310,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",No railings,1.0,
