asset_id,timestamp,model,response,latency_s,width_bin_value,width_bin_confidence,parse_error,raw_response,error,traceback
46926,2026-05-27T19:07:23.392929,gemini-3-flash-preview,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}}",8.984,standard (0.9-1.5m),0.85,,,,
47182,2026-05-27T19:07:28.572973,gemini-3-flash-preview,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}}",5.167,standard (0.9-1.5m),0.9,,,,
47389,2026-05-27T19:07:35.055500,gemini-3-flash-preview,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}}",6.458,standard (0.9-1.5m),0.9,,,,
47533,2026-05-27T19:07:40.779422,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",5.714,standard (0.9-1.5m),0.9,,,,
47637,2026-05-27T19:07:45.284993,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""narrow (<0.9m)"", ""confidence"": 0.9}
}",4.503,narrow (<0.9m),0.9,,,,
48111,2026-05-27T19:07:51.318407,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",6.031,standard (0.9-1.5m),0.9,,,,
48112,2026-05-27T19:07:55.646672,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",4.325,standard (0.9-1.5m),0.9,,,,
48296,2026-05-27T19:08:04.748211,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""wide (>1.5m)"", ""confidence"": 0.85}
}",9.098,wide (>1.5m),0.85,,,,
48340,2026-05-27T19:08:10.903990,gemini-3-flash-preview,"{
    ""width_bin"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.9
    }
}",6.153,standard (0.9-1.5m),0.9,,,,
48344,2026-05-27T19:08:15.703987,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",4.788,standard (0.9-1.5m),0.9,,,,
48488,2026-05-27T19:08:22.262452,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",6.551,standard (0.9-1.5m),0.9,,,,
48627,2026-05-27T19:08:32.202035,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",9.933,standard (0.9-1.5m),0.9,,,,
48693,2026-05-27T19:08:37.404127,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""narrow (<0.9m)"", ""confidence"": 0.95}
}",5.197,narrow (<0.9m),0.95,,,,
48694,2026-05-27T19:08:44.504925,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""narrow (<0.9m)"", ""confidence"": 0.85}
}",7.1,narrow (<0.9m),0.85,,,,
48695,2026-05-27T19:08:52.232546,gemini-3-flash-preview,"{
    ""width_bin"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    }
}",7.716,standard (0.9-1.5m),0.8,,,,
49057,2026-05-27T19:08:58.405360,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""narrow (<0.9m)"", ""confidence"": 0.9}
}",6.17,narrow (<0.9m),0.9,,,,
49059,2026-05-27T19:09:04.475219,gemini-3-flash-preview,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}}",6.067,standard (0.9-1.5m),0.9,,,,
49060,2026-05-27T19:09:12.396724,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""narrow (<0.9m)"", ""confidence"": 0.9}
}",7.92,narrow (<0.9m),0.9,,,,
49061,2026-05-27T19:09:17.972963,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",5.57,standard (0.9-1.5m),0.9,,,,
49430,2026-05-27T19:09:24.432514,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}",6.455,standard (0.9-1.5m),0.85,,,,
49679,2026-05-27T19:09:29.530976,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}
}",5.069,standard (0.9-1.5m),0.9,,,,
49681,2026-05-27T19:09:36.696184,gemini-3-flash-preview,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}",7.162,standard (0.9-1.5m),0.85,,,,
49682,2026-05-27T19:09:42.123634,gemini-3-flash-preview,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}}",5.426,standard (0.9-1.5m),0.85,,,,
