asset_id,timestamp,model,response,latency_s,abutment_material_value,abutment_material_confidence,parse_error,raw_response,error,traceback
47533,2026-05-28T01:28:26.310382,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",23.466,Timber,0.9,,,,
48111,2026-05-28T01:28:53.910598,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}
```",27.579,Timber,0.8,,,,
48112,2026-05-28T01:29:11.521983,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",17.606,unable to determine,0.0,,,,
49057,2026-05-28T01:29:25.657538,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}",14.131,Timber,0.9,,,,
49059,2026-05-28T01:29:43.556836,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",17.892,Timber,0.9,,,,
49060,2026-05-28T01:30:00.679202,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",17.121,Concrete,0.9,,,,
49061,2026-05-28T01:30:14.514475,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",13.823,Concrete,0.9,,,,
49243,2026-05-28T01:30:38.761197,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",24.241,unable to determine,0.0,,,,
50654,2026-05-28T01:30:54.538025,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}
```",15.772,Timber,0.8,,,,
51524,2026-05-28T01:31:07.225441,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",12.68,Concrete,0.9,,,,
51531,2026-05-28T01:31:46.991202,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.8
    }
}
```",39.76,Steel,0.8,,,,
52457,2026-05-28T01:32:02.651635,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}
```",15.656,Concrete,0.95,,,,
52551,2026-05-28T01:32:23.431820,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",20.776,Concrete,0.9,,,,
53798,2026-05-28T01:33:07.258830,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.7
    }
}
```",43.822,Timber,0.7,,,,
53985,2026-05-28T01:33:39.184142,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",31.921,unable to determine,0.0,,,,
53986,2026-05-28T01:34:06.020015,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",26.832,unable to determine,0.0,,,,
54324,2026-05-28T01:34:35.207573,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.9
    }
}
```",29.178,Steel,0.9,,,,
55640,2026-05-28T01:34:53.466672,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",18.249,Timber,0.9,,,,
56469,2026-05-28T01:35:13.297582,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",19.827,Timber,0.9,,,,
56876,2026-05-28T01:35:43.712823,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",30.409,unable to determine,0.0,,,,
57834,2026-05-28T01:35:55.375276,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}
```",11.638,Concrete,0.95,,,,
58162,2026-05-28T01:36:20.473688,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",25.097,Timber,0.9,,,,
58164,2026-05-28T01:36:37.690268,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}
```",17.213,Timber,0.8,,,,
58955,2026-05-28T01:36:51.350567,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",13.659,unable to determine,0.0,,,,
59060,2026-05-28T01:37:06.900436,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",15.544,Timber,0.95,,,,
61003,2026-05-28T01:37:25.474207,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",18.573,unable to determine,0.0,,,,
63068,2026-05-28T01:37:35.111998,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",9.632,Concrete,0.9,,,,
63597,2026-05-28T01:38:30.835044,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",55.721,unable to determine,0.0,,,,
64102,2026-05-28T01:38:49.052799,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.85
    }
}
```",18.213,Timber,0.85,,,,
64126,2026-05-28T01:39:03.107423,gemma-4-26b-a4b-it,"```json
{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",14.045,Timber,0.9,,,,
64643,2026-05-28T01:39:22.855672,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}",19.723,Timber,0.8,,,,
65425,2026-05-28T01:39:33.895708,gemma-4-26b-a4b-it,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}",11.024,Timber,0.9,,,,
