asset_id,timestamp,model,response,latency_s,length_bin_value,length_bin_confidence,parse_error,raw_response,error,traceback
46926,2026-05-27T18:36:59.568946,gemini-3-flash-preview,"{""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.95}}",6.979,short (<6m),0.95,,,,
47637,2026-05-27T18:37:05.915778,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.9}
}",6.341,medium (6-20m),0.9,,,,
48296,2026-05-27T18:37:10.309211,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.9}
}",4.389,medium (6-20m),0.9,,,,
48340,2026-05-27T18:37:13.997014,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.95}
}",3.687,short (<6m),0.95,,,,
48344,2026-05-27T18:37:18.099012,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.95}
}",4.101,short (<6m),0.95,,,,
49057,2026-05-27T18:37:24.713796,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.9}
}",6.608,medium (6-20m),0.9,,,,
49059,2026-05-27T18:37:30.284313,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.9}
}",5.563,short (<6m),0.9,,,,
49060,2026-05-27T18:37:35.193628,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.95}
}",4.908,long (>20m),0.95,,,,
49061,2026-05-27T18:37:39.520927,gemini-3-flash-preview,"{
    ""length_bin"": {
        ""value"": ""short (<6m)"",
        ""confidence"": 0.95
    }
}",4.323,short (<6m),0.95,,,,
49243,2026-05-27T18:37:43.799948,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.85}
}",4.227,medium (6-20m),0.85,,,,
50654,2026-05-27T18:37:47.320194,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.95}
}",3.516,short (<6m),0.95,,,,
51524,2026-05-27T18:37:57.219393,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.8}
}",9.894,long (>20m),0.8,,,,
51525,2026-05-27T18:38:02.704831,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.95}
}",5.481,long (>20m),0.95,,,,
51531,2026-05-27T18:38:15.254029,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.85}
}",12.545,medium (6-20m),0.85,,,,
52457,2026-05-27T18:38:22.721231,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.9}
}",7.458,medium (6-20m),0.9,,,,
52551,2026-05-27T18:38:45.763419,gemini-3-flash-preview,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.85}
}
```",23.036,medium (6-20m),0.85,,,,
53193,2026-05-27T18:38:53.639533,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.9}
}",7.872,medium (6-20m),0.9,,,,
53798,2026-05-27T18:38:57.636601,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.95}
}",3.99,medium (6-20m),0.95,,,,
53986,2026-05-27T18:39:06.138128,gemini-3-flash-preview,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}
}",8.496,medium (6-20m),0.8,,,,
