asset_id,timestamp,model,response,latency_s,abutment_material_value,abutment_material_confidence,parse_error,raw_response,error,traceback
47533,2026-05-27T19:40:33.994807,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}",6.331,Timber,0.9,,,,
48111,2026-05-27T19:40:42.342690,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",8.335,Timber,0.95,,,,
48112,2026-05-27T19:40:48.674970,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}",6.327,Timber,0.8,,,,
49057,2026-05-27T19:40:53.491225,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}",4.814,Timber,0.9,,,,
49059,2026-05-27T19:40:57.994440,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",4.501,Timber,0.95,,,,
49060,2026-05-27T19:41:24.717235,gemini-3-flash-preview,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",26.721,Concrete,0.9,,,,
49061,2026-05-27T19:41:35.179883,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}",10.457,Concrete,0.9,,,,
49243,2026-05-27T19:41:43.609373,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}",8.424,Timber,0.8,,,,
50654,2026-05-27T19:41:47.842067,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}",4.23,Timber,0.9,,,,
51524,2026-05-27T19:41:55.299493,gemini-3-flash-preview,"```json
{
    ""abutment_material"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",7.449,unable to determine,0.0,,,,
51531,2026-05-27T19:42:00.978430,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}",5.674,Concrete,0.9,,,,
52457,2026-05-27T19:42:08.769586,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}",7.785,Concrete,0.95,,,,
52551,2026-05-27T19:42:50.359874,gemini-3-flash-preview,"```json
{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.8
    }
}
```",41.586,Concrete,0.8,,,,
53798,2026-05-27T19:42:57.136307,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Gabions"",
        ""confidence"": 0.9
    }
}",6.772,Gabions,0.9,,,,
53985,2026-05-27T19:43:04.063463,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",6.925,Timber,0.95,,,,
53986,2026-05-27T19:43:16.554110,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.7
    }
}",12.488,Timber,0.7,,,,
54324,2026-05-27T19:43:21.971529,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.9
    }
}",5.411,Steel,0.9,,,,
55640,2026-05-27T19:43:26.945943,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",4.973,Timber,0.95,,,,
56469,2026-05-27T19:43:34.400308,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}",7.45,Timber,0.9,,,,
56876,2026-05-27T19:43:42.682031,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}",8.278,Timber,0.8,,,,
57834,2026-05-27T19:43:46.192204,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Concrete"",
        ""confidence"": 1.0
    }
}",3.401,Concrete,1.0,,,,
58162,2026-05-27T19:43:55.003400,gemini-3-flash-preview,"{
    ""abutment_material"": {
        ""value"": ""Gabions"",
        ""confidence"": 0.9
    }
}",8.809,Gabions,0.9,,,,
