asset_id,timestamp,model,response,latency_s,has_pedestrian_railing_value,has_pedestrian_railing_confidence,parse_error,raw_response,error,traceback
46926,2026-05-28T02:34:35.533365,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",10.2,No railings,1.0,,,,
47182,2026-05-28T02:34:45.047656,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",9.504,2 railings,1.0,,,,
47389,2026-05-28T02:34:56.109906,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.95
    }
}",11.055,No railings,0.95,,,,
48340,2026-05-28T02:35:13.217824,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.9
    }
}",17.106,No railings,0.9,,,,
48627,2026-05-28T02:35:22.536927,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}
```",9.312,2 railings,1.0,,,,
48693,2026-05-28T02:35:33.762775,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",11.212,2 railings,1.0,,,,
48694,2026-05-28T02:35:43.415745,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.65,No railings,1.0,,,,
48695,2026-05-28T02:35:51.404861,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",7.988,No railings,1.0,,,,
49057,2026-05-28T02:35:59.390194,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",7.983,No railings,1.0,,,,
49059,2026-05-28T02:36:10.047706,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",10.656,No railings,1.0,,,,
49060,2026-05-28T02:36:19.463128,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",9.41,No railings,1.0,,,,
49061,2026-05-28T02:36:28.585512,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.121,No railings,1.0,,,,
49243,2026-05-28T02:36:37.686757,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",9.095,No railings,1.0,,,,
49430,2026-05-28T02:36:48.342729,gemma-4-26b-a4b-it,"```json
{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}
```",10.654,No railings,1.0,,,,
49679,2026-05-28T02:36:57.053807,gemma-4-26b-a4b-it,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",8.705,1 railing,1.0,,,,
