asset_id,timestamp,model,response,latency_s,decking_material_value,decking_material_confidence,parse_error,raw_response,error,traceback
46926,2026-06-06T22:06:42.789611,gemma-4-26b-a4b-it,"{""decking_material"": {""value"": ""Timber"", ""confidence"": 0.98}}",10.376,Timber,0.98,,,,
47533,2026-06-06T22:06:57.572810,gemma-4-26b-a4b-it,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",14.771,Timber,0.95,,,,
47637,2026-06-06T22:07:09.258801,gemma-4-26b-a4b-it,"```json
{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",11.683,Timber,0.95,,,,
48111,2026-06-06T22:07:20.483090,gemma-4-26b-a4b-it,"```json
{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",11.22,Timber,0.95,,,,
48112,2026-06-06T22:07:29.947460,gemma-4-26b-a4b-it,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",9.46,Timber,0.95,,,,
48296,2026-06-06T22:07:42.099462,gemma-4-26b-a4b-it,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",12.146,Timber,0.95,,,,
48340,2026-06-06T22:07:52.980181,gemma-4-26b-a4b-it,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",10.879,Timber,0.95,,,,
48344,2026-06-06T22:08:03.843475,gemma-4-26b-a4b-it,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",10.859,Timber,0.95,,,,
49057,2026-06-06T22:08:13.780373,gemma-4-26b-a4b-it,"```json
{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",9.931,Timber,0.95,,,,
49059,2026-06-06T22:08:25.333395,gemma-4-26b-a4b-it,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",11.542,Timber,0.95,,,,
