asset_id,timestamp,model,response,latency_s,bridge_type_value,bridge_type_confidence,parse_error,raw_response,error,traceback
46926,2026-05-28T03:28:36.536341,gemma-4-26b-a4b-it,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",11.59,Beam,1.0,,,,
47533,2026-05-28T03:28:57.020212,gemma-4-26b-a4b-it,"```json
{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.9
    }
}
```",20.475,Beam,0.9,,,,
47637,2026-05-28T03:29:13.722154,gemma-4-26b-a4b-it,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",16.696,Beam,0.95,,,,
48111,2026-05-28T03:29:26.717100,gemma-4-26b-a4b-it,"```json
{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 0.95
    }
}
```",12.989,Truss,0.95,,,,
48112,2026-05-28T03:29:38.797704,gemma-4-26b-a4b-it,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",12.075,Beam,0.95,,,,
48296,2026-05-28T03:30:11.258322,gemma-4-26b-a4b-it,"```json
{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.85
    }
}
```",32.455,Beam,0.85,,,,
48488,2026-05-28T03:30:24.059801,gemma-4-26b-a4b-it,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",12.795,Beam,0.95,,,,
49057,2026-05-28T03:30:35.431319,gemma-4-26b-a4b-it,"```json
{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}
```",11.365,Beam,0.95,,,,
49059,2026-05-28T03:30:47.498820,gemma-4-26b-a4b-it,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",12.062,Beam,0.95,,,,
49060,2026-05-28T03:30:59.182452,gemma-4-26b-a4b-it,"```json
{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}
```",11.682,Beam,1.0,,,,
