asset_id,timestamp,model,response,latency_s,decking_material_value,decking_material_confidence,parse_error,raw_response,error,traceback
46926,2026-06-07T01:01:26.340714,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",14.984,Timber,1.0,,,,
47533,2026-06-07T01:01:34.122168,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.98
    }
}",7.769,Timber,0.98,,,,
47637,2026-06-07T01:01:37.283786,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",3.155,Timber,1.0,,,,
48111,2026-06-07T01:01:46.655657,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",9.37,Timber,0.95,,,,
48112,2026-06-07T01:01:51.201890,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",4.541,Timber,1.0,,,,
48296,2026-06-07T01:01:56.758713,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",5.549,Timber,0.95,,,,
48340,2026-06-07T01:02:00.671635,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.98
    }
}",3.91,Timber,0.98,,,,
48344,2026-06-07T01:02:04.963597,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",4.278,Timber,0.95,,,,
49057,2026-06-07T01:02:08.962909,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",3.94,Timber,0.95,,,,
49059,2026-06-07T01:02:27.148192,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",18.156,Timber,1.0,,,,
49060,2026-06-07T01:02:36.272266,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",8.917,Timber,1.0,,,,
49061,2026-06-07T01:02:43.991032,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",7.69,Timber,1.0,,,,
50654,2026-06-07T01:02:48.201633,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",4.142,Timber,0.95,,,,
51524,2026-06-07T01:03:00.630825,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}",12.424,Steel,0.95,,,,
51525,2026-06-07T01:03:27.470832,gemini-3-flash-preview,"```json
{
    ""decking_material"": {
        ""value"": ""Aluminum"",
        ""confidence"": 0.85
    }
}
```",26.825,Aluminum,0.85,,,,
51531,2026-06-07T01:03:36.002843,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",8.454,Timber,1.0,,,,
52457,2026-06-07T01:03:55.115936,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.9
    }
}",19.08,Steel,0.9,,,,
52551,2026-06-07T01:04:07.189455,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",11.74,Timber,1.0,,,,
53193,2026-06-07T01:04:11.891787,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",4.679,Timber,0.95,,,,
53798,2026-06-07T01:04:16.148194,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",4.25,Timber,0.95,,,,
53985,2026-06-07T01:04:33.666254,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.9
    }
}",17.397,Steel,0.9,,,,
53986,2026-06-07T01:04:43.179473,gemini-3-flash-preview,"{
    ""decking_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.8
    }
}",9.51,Timber,0.8,,,,
