asset_id,timestamp,model,response,latency_s,width_bin_value,width_bin_confidence,parse_error,raw_response,error,traceback
46926,2026-05-27T21:09:28.808072,gemma-4-26b-a4b-it,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}",17.812,standard (0.9-1.5m),0.85,,,,
47182,2026-05-27T21:09:42.271993,gemma-4-26b-a4b-it,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}",13.455,standard (0.9-1.5m),0.8,,,,
47389,2026-05-27T21:09:59.724268,gemma-4-26b-a4b-it,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}",17.446,standard (0.9-1.5m),0.8,,,,
47533,2026-05-27T21:10:16.390379,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",16.661,standard (0.9-1.5m),0.85,,,,
47637,2026-05-27T21:10:34.204750,gemma-4-26b-a4b-it,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}",17.793,standard (0.9-1.5m),0.8,,,,
48111,2026-05-27T21:10:52.942659,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",18.727,standard (0.9-1.5m),0.85,,,,
48112,2026-05-27T21:11:09.828386,gemma-4-26b-a4b-it,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}}",16.88,standard (0.9-1.5m),0.85,,,,
48296,2026-05-27T21:11:32.567111,gemma-4-26b-a4b-it,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}",22.727,standard (0.9-1.5m),0.85,,,,
48340,2026-05-27T21:11:50.669921,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",18.096,standard (0.9-1.5m),0.8,,,,
48344,2026-05-27T21:12:05.418420,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",14.731,standard (0.9-1.5m),0.8,,,,
48488,2026-05-27T21:12:21.817605,gemma-4-26b-a4b-it,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}}",16.392,standard (0.9-1.5m),0.85,,,,
48627,2026-05-27T21:12:45.674374,gemma-4-26b-a4b-it,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.9}}",23.85,standard (0.9-1.5m),0.9,,,,
48693,2026-05-27T21:13:01.019455,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",15.339,standard (0.9-1.5m),0.8,,,,
48694,2026-05-27T21:13:30.159506,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.7
    }
}
```",29.135,standard (0.9-1.5m),0.7,,,,
48695,2026-05-27T21:13:57.941626,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""narrow (<0.8m)"", ""confidence"": 0.6}
}
```",27.747,narrow (<0.8m),0.6,,,,
49057,2026-05-27T21:14:18.247371,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",20.274,standard (0.9-1.5m),0.85,,,,
49059,2026-05-27T21:14:59.401110,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",41.148,standard (0.9-1.5m),0.8,,,,
49060,2026-05-27T21:15:24.082715,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",24.661,standard (0.9-1.5m),0.8,,,,
49061,2026-05-27T21:15:42.322343,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",18.234,standard (0.9-1.5m),0.85,,,,
49430,2026-05-27T21:16:42.127279,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",59.799,standard (0.9-1.5m),0.8,,,,
49679,2026-05-27T21:17:06.843173,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.75}
}
```",24.633,standard (0.9-1.5m),0.75,,,,
49681,2026-05-27T21:17:24.425186,gemma-4-26b-a4b-it,"{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}",17.353,standard (0.9-1.5m),0.8,,,,
49682,2026-05-27T21:17:44.801887,gemma-4-26b-a4b-it,"{
    ""width_bin"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.8
    }
}",20.372,standard (0.9-1.5m),0.8,,,,
50231,2026-05-27T21:18:02.375623,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",17.564,standard (0.9-1.5m),0.85,,,,
50235,2026-05-27T21:18:28.320477,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",25.94,standard (0.9-1.5m),0.8,,,,
50625,2026-05-27T21:18:47.854254,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",19.527,standard (0.9-1.5m),0.85,,,,
50654,2026-05-27T21:19:06.402586,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.8}
}
```",18.543,standard (0.9-1.5m),0.8,,,,
50749,2026-05-27T21:19:32.312067,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {
        ""value"": ""standard (0.9-1.5m)"",
        ""confidence"": 0.85
    }
}
```",25.904,standard (0.9-1.5m),0.85,,,,
51216,2026-05-27T21:19:56.391123,gemma-4-26b-a4b-it,"```json
{
    ""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.85}
}
```",24.064,standard (0.9-1.5m),0.85,,,,
51214,2026-05-27T21:20:12.450128,gemma-4-26b-a4b-it,"{""width_bin"": {""value"": ""standard (0.9-1.5m)"", ""confidence"": 0.75}}",16.054,standard (0.9-1.5m),0.75,,,,
