asset_id,timestamp,model,response,latency_s,structure_material_value,structure_material_confidence,parse_error,raw_response,error,traceback
46926,2026-06-06T23:13:20.242769,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",10.076,Timber,1.0,,,,
47533,2026-06-06T23:13:28.418594,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}
```",8.169,Timber,1.0,,,,
47637,2026-06-06T23:13:37.636617,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",9.217,Timber,1.0,,,,
48111,2026-06-06T23:13:54.861929,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",17.223,Timber,0.95,,,,
48112,2026-06-06T23:14:03.860515,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.98
    }
}",8.993,Timber,0.98,,,,
48296,2026-06-06T23:14:14.611361,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",10.749,Timber,0.95,,,,
48340,2026-06-06T23:14:22.863783,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",8.251,Timber,1.0,,,,
48344,2026-06-06T23:14:31.992464,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",9.127,Timber,0.95,,,,
49057,2026-06-06T23:14:43.179295,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",11.18,Timber,1.0,,,,
49059,2026-06-06T23:14:51.855418,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}
```",8.674,Timber,1.0,,,,
49060,2026-06-06T23:15:21.220756,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}
```",29.363,Steel,0.95,,,,
49061,2026-06-06T23:15:48.111739,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.9
    }
}
```",26.89,Steel,0.9,,,,
50654,2026-06-06T23:16:08.791175,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",20.674,Timber,0.95,,,,
51524,2026-06-06T23:16:59.793613,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.85
    }
}
```",51.001,Steel,0.85,,,,
51525,2026-06-06T23:17:18.943227,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}",19.144,Steel,0.95,,,,
51531,2026-06-06T23:18:12.051504,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",53.103,Timber,0.9,,,,
52551,2026-06-06T23:18:24.681351,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}
```",12.602,Timber,1.0,,,,
53193,2026-06-06T23:18:43.287081,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",18.605,Timber,0.9,,,,
53798,2026-06-06T23:18:51.715195,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",8.425,Timber,1.0,,,,
53985,2026-06-06T23:19:13.730617,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",22.012,Timber,0.9,,,,
53986,2026-06-06T23:19:23.864097,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",10.115,Timber,0.95,,,,
54184,2026-06-06T23:19:33.934353,gemma-4-26b-a4b-it,"{""structure_material"": {""value"": ""Timber"", ""confidence"": 0.98}}",10.069,Timber,0.98,,,,
54321,2026-06-06T23:19:45.059131,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}
```",11.123,Timber,0.95,,,,
54324,2026-06-06T23:19:59.291471,gemma-4-26b-a4b-it,"{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}",14.231,Steel,0.95,,,,
55640,2026-06-06T23:20:26.281536,gemma-4-26b-a4b-it,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",26.988,Timber,0.9,,,,
