asset_id,timestamp,model,response,latency_s,has_pedestrian_railing_value,has_pedestrian_railing_confidence,parse_error,raw_response,error,traceback
46926,2026-05-27T18:11:11.565460,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.421,No railings,1.0,,,,
47182,2026-05-27T18:11:13.972858,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",2.403,2 railings,1.0,,,,
47389,2026-05-27T18:11:17.637832,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.647,No railings,1.0,,,,
48340,2026-05-27T18:11:21.551265,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.89,No railings,1.0,,,,
48627,2026-05-27T18:11:25.592353,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",4.031,2 railings,1.0,,,,
48693,2026-05-27T18:11:28.709022,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",3.111,1 railing,1.0,,,,
48694,2026-05-27T18:11:31.449954,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",2.74,No railings,1.0,,,,
48695,2026-05-27T18:11:35.062225,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 0.9
    }
}",3.611,No railings,0.9,,,,
49057,2026-05-27T18:11:38.241129,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.178,No railings,1.0,,,,
49059,2026-05-27T18:11:40.997803,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",2.75,No railings,1.0,,,,
49060,2026-05-27T18:11:44.664497,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.665,No railings,1.0,,,,
49061,2026-05-27T18:11:47.675153,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.007,No railings,1.0,,,,
49243,2026-05-27T18:11:50.219164,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",2.54,No railings,1.0,,,,
49430,2026-05-27T18:11:53.797689,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.573,No railings,1.0,,,,
49679,2026-05-27T18:11:56.631112,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",2.832,1 railing,1.0,,,,
49681,2026-05-27T18:11:59.881714,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",3.249,2 railings,1.0,,,,
49682,2026-05-27T18:12:02.927535,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.044,No railings,1.0,,,,
50231,2026-05-27T18:12:07.624044,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",4.69,2 railings,1.0,,,,
50235,2026-05-27T18:12:12.201056,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",4.576,No railings,1.0,,,,
50625,2026-05-27T18:12:16.019585,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",3.815,2 railings,1.0,,,,
50654,2026-05-27T18:12:18.735999,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",2.686,No railings,1.0,,,,
50749,2026-05-27T18:12:33.845479,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",15.108,2 railings,1.0,,,,
51216,2026-05-27T18:12:39.182497,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",5.333,2 railings,1.0,,,,
51214,2026-05-27T18:12:44.800424,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",5.614,2 railings,1.0,,,,
51218,2026-05-27T18:12:47.869002,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",3.067,2 railings,1.0,,,,
51244,2026-05-27T18:12:54.956374,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",7.086,1 railing,1.0,,,,
52242,2026-05-27T18:12:58.331844,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""2 railings"",
        ""confidence"": 1.0
    }
}",3.371,2 railings,1.0,,,,
52457,2026-05-27T18:13:03.029190,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""1 railing"",
        ""confidence"": 1.0
    }
}",4.696,1 railing,1.0,,,,
52456,2026-05-27T18:13:07.841475,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",4.809,No railings,1.0,,,,
54184,2026-05-27T18:13:10.723420,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",2.878,No railings,1.0,,,,
55272,2026-05-27T18:13:13.876190,gemini-3-flash-preview,"{
    ""has_pedestrian_railing"": {
        ""value"": ""No railings"",
        ""confidence"": 1.0
    }
}",3.144,No railings,1.0,,,,
