asset_id,timestamp,model,response,latency_s,bridge_type_value,bridge_type_confidence,parse_error,raw_response,error,traceback
46926,2026-05-27T20:01:53.292847,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",6.167,Beam,1.0,,,,
47533,2026-05-27T20:01:57.821222,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",4.495,Beam,0.95,,,,
47637,2026-05-27T20:02:02.428240,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Fallen Tree"",
        ""confidence"": 1.0
    }
}",4.601,Fallen Tree,1.0,,,,
48111,2026-05-27T20:02:08.982756,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 1.0
    }
}",6.549,Truss,1.0,,,,
48112,2026-05-27T20:02:13.487072,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",4.5,Beam,0.95,,,,
48296,2026-05-27T20:02:28.663343,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 0.9
    }
}",15.17,Truss,0.9,,,,
48488,2026-05-27T20:02:34.376105,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",5.696,Beam,1.0,,,,
49057,2026-05-27T20:02:38.063372,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",3.685,Beam,0.95,,,,
49059,2026-05-27T20:02:42.252970,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",4.184,Beam,1.0,,,,
49060,2026-05-27T20:02:45.867599,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",3.612,Beam,1.0,,,,
49061,2026-05-27T20:02:49.106956,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",3.237,Beam,1.0,,,,
50654,2026-05-27T20:02:52.681292,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",3.573,Beam,0.95,,,,
51524,2026-05-27T20:02:59.200033,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 0.95
    }
}",6.517,Truss,0.95,,,,
51525,2026-05-27T20:03:03.758921,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Suspension"",
        ""confidence"": 1.0
    }
}",4.553,Suspension,1.0,,,,
51531,2026-05-27T20:03:08.257516,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",4.497,Beam,1.0,,,,
52457,2026-05-27T20:03:12.481784,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",4.222,Beam,1.0,,,,
52551,2026-05-27T20:03:19.002583,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",6.52,Beam,1.0,,,,
53798,2026-05-27T20:03:23.175082,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",4.168,Beam,1.0,,,,
53985,2026-05-27T20:03:30.229516,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 0.95
    }
}",7.051,Beam,0.95,,,,
53986,2026-05-27T20:03:34.468879,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 0.95
    }
}",4.238,Truss,0.95,,,,
54324,2026-05-27T20:03:38.367018,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Suspension"",
        ""confidence"": 1.0
    }
}",3.836,Suspension,1.0,,,,
55640,2026-05-27T20:03:41.744814,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 1.0
    }
}",3.375,Truss,1.0,,,,
56469,2026-05-27T20:03:45.538086,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Beam"",
        ""confidence"": 1.0
    }
}",3.791,Beam,1.0,,,,
56533,2026-05-27T20:03:49.836084,gemini-3-flash-preview,"{
    ""bridge_type"": {
        ""value"": ""Truss"",
        ""confidence"": 1.0
    }
}",4.296,Truss,1.0,,,,
