asset_id,timestamp,model,response,latency_s,fall_height_bin_value,fall_height_bin_confidence,parse_error,raw_response,error,traceback,length_bin_value,length_bin_confidence,width_bin_value,width_bin_confidence,has_pedestrian_railing_value,has_pedestrian_railing_confidence,abutment_material_value,abutment_material_confidence,bridge_type_value,bridge_type_confidence,decking_material_value,decking_material_confidence,structure_material_value,structure_material_confidence
46926,,,,,,,,,,,short (<6m),0.85,standard (0.9-1.5m),0.85,No railings,1.0,,,Beam,1.0,Timber,0.98,Timber,1.0
47182,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
47389,,,,,,,,,,,,,standard (0.9-1.5m),0.8,No railings,0.95,,,,,,,,
47533,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,Timber,0.9,Beam,0.9,Timber,0.95,Timber,1.0
47637,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.8,,,,,Beam,0.95,Timber,0.95,Timber,1.0
48111,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,Timber,0.8,Truss,0.95,Timber,0.95,Timber,0.95
48112,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,unable to determine,0.0,Beam,0.95,Timber,0.95,Timber,0.98
48296,,,,,,,,,,,medium (6-20m),0.75,standard (0.9-1.5m),0.85,,,,,Beam,0.85,Timber,0.95,Timber,0.95
48340,,,,,,,,,,,short (<6m),0.9,standard (0.9-1.5m),0.8,No railings,0.9,,,,,Timber,0.95,Timber,1.0
48344,,,,,,,,,,,medium (6-20m),0.85,standard (0.9-1.5m),0.8,,,,,,,Timber,0.95,Timber,0.95
48488,,,,,,,,,,,,,standard (0.9-1.5m),0.85,,,,,Beam,0.95,,,,
48627,,,,,,,,,,,,,standard (0.9-1.5m),0.9,2 railings,1.0,,,,,,,,
48693,,,,,,,,,,,,,standard (0.9-1.5m),0.8,2 railings,1.0,,,,,,,,
48694,,,,,,,,,,,,,standard (0.9-1.5m),0.7,No railings,1.0,,,,,,,,
48695,,,,,,,,,,,,,narrow (<0.8m),0.6,No railings,1.0,,,,,,,,
49057,,,,,,,,,,,medium (6-20m),0.8,standard (0.9-1.5m),0.85,No railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
49059,,,,,,,,,,,short (<6m),0.85,standard (0.9-1.5m),0.8,No railings,1.0,Timber,0.9,Beam,0.95,Timber,0.95,Timber,1.0
49060,,,,,,,,,,,long (>20m),0.9,standard (0.9-1.5m),0.8,No railings,1.0,Concrete,0.9,Beam,1.0,Timber,1.0,Steel,0.95
