asset_id,timestamp,model,response,latency_s,length_bin_value,length_bin_confidence,parse_error,raw_response,error,traceback
46926,2026-05-28T00:07:18.380829,gemma-4-26b-a4b-it,"{""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.85}}",16.595,short (<6m),0.85,,,,
47637,2026-05-28T00:07:40.107938,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.75}
}
```",21.713,medium (6-20m),0.75,,,,
48296,2026-05-28T00:07:55.022134,gemma-4-26b-a4b-it,"{""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.75}}",14.879,medium (6-20m),0.75,,,,
48340,2026-05-28T00:08:07.632717,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.9}
}",12.605,short (<6m),0.9,,,,
48344,2026-05-28T00:08:28.639890,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.85}
}",20.998,medium (6-20m),0.85,,,,
49057,2026-05-28T00:09:11.025590,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}
}
```",42.368,medium (6-20m),0.8,,,,
49059,2026-05-28T00:09:25.883820,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.85}
}
```",14.845,short (<6m),0.85,,,,
49060,2026-05-28T00:09:42.128720,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.9}
}
```",16.237,long (>20m),0.9,,,,
49061,2026-05-28T00:10:03.413771,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.9}
}",21.28,short (<6m),0.9,,,,
49243,2026-05-28T00:10:49.047656,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.75}
}
```",45.628,medium (6-20m),0.75,,,,
50654,2026-05-28T00:11:06.504861,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.85}
}
```",17.415,short (<6m),0.85,,,,
51524,2026-05-28T00:11:23.506648,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}
}
```",16.996,medium (6-20m),0.8,,,,
51525,2026-05-28T00:11:42.657865,gemma-4-26b-a4b-it,"{""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.85}}",19.139,long (>20m),0.85,,,,
51531,2026-05-28T00:12:56.307191,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.7}
}
```",73.646,short (<6m),0.7,,,,
52457,2026-05-28T00:13:19.955436,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.7}
}
```",23.62,medium (6-20m),0.7,,,,
52551,2026-05-28T00:14:00.553027,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}
}
```",40.575,medium (6-20m),0.8,,,,
53193,2026-05-28T00:14:31.426329,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}
}
```",30.852,medium (6-20m),0.8,,,,
53798,2026-05-28T00:14:45.491749,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.85}
}",14.044,medium (6-20m),0.85,,,,
53986,2026-05-28T00:15:00.909956,gemma-4-26b-a4b-it,"{""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.85}}",15.412,medium (6-20m),0.85,,,,
54184,2026-05-28T00:15:29.213187,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {
        ""value"": ""medium (6-20m)"",
        ""confidence"": 0.75
    }
}
```",28.293,medium (6-20m),0.75,,,,
54324,2026-05-28T00:15:46.135499,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.95}
}",16.797,long (>20m),0.95,,,,
55640,2026-05-28T00:16:11.558843,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.7}
}
```",25.412,medium (6-20m),0.7,,,,
56469,2026-05-28T00:16:26.309457,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.9}
}
```",14.742,short (<6m),0.9,,,,
56533,2026-05-28T00:16:49.959544,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}
}
```",23.641,medium (6-20m),0.8,,,,
56876,2026-05-28T00:17:15.868170,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.75}
}
```",25.9,medium (6-20m),0.75,,,,
57834,2026-05-28T00:17:33.890545,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.75}
}
```",18.018,medium (6-20m),0.75,,,,
58162,2026-05-28T00:18:10.755717,gemma-4-26b-a4b-it,"{""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.8}}",36.859,medium (6-20m),0.8,,,,
58955,2026-05-28T00:18:58.267901,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""long (>20m)"", ""confidence"": 0.8}
}
```",47.51,long (>20m),0.8,,,,
61003,2026-05-28T00:19:16.107978,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.7}
}",17.833,medium (6-20m),0.7,,,,
62289,2026-05-28T00:19:27.444079,gemma-4-26b-a4b-it,"{
    ""length_bin"": {""value"": ""short (<6m)"", ""confidence"": 0.9}
}",11.315,short (<6m),0.9,,,,
63068,2026-05-28T00:20:05.106197,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.7}
}
```",37.658,medium (6-20m),0.7,,,,
63597,2026-05-28T00:20:46.874170,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.7}
}
```",41.754,medium (6-20m),0.7,,,,
64102,2026-05-28T00:21:07.488569,gemma-4-26b-a4b-it,"{""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.6}}",20.61,medium (6-20m),0.6,,,,
64643,2026-05-28T00:21:32.379636,gemma-4-26b-a4b-it,"```json
{
    ""length_bin"": {""value"": ""medium (6-20m)"", ""confidence"": 0.75}
}
```",24.803,medium (6-20m),0.75,,,,
