asset_id,timestamp,model,response,latency_s,structure_material_value,structure_material_confidence,parse_error,raw_response,error,traceback
46926,2026-06-07T11:13:07.027355,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.98
    }
}",12.295,Timber,0.98,,,,
47533,2026-06-07T11:13:18.043471,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",10.985,Timber,1.0,,,,
47637,2026-06-07T11:13:26.565658,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",8.516,Timber,1.0,,,,
48111,2026-06-07T11:13:52.944737,gemini-3-flash-preview,,26.368,,,True,,,
48112,2026-06-07T11:14:07.602033,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",14.644,Timber,1.0,,,,
48296,2026-06-07T11:14:16.699489,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",9.091,Timber,0.95,,,,
48340,2026-06-07T11:14:22.243159,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",5.53,Timber,1.0,,,,
48344,2026-06-07T11:14:53.171820,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",30.922,Timber,0.95,,,,
49057,2026-06-07T11:15:01.779051,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",8.592,Timber,0.95,,,,
49059,2026-06-07T11:15:11.335296,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",9.545,Timber,1.0,,,,
49060,2026-06-07T11:15:23.277161,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}",11.94,Steel,0.95,,,,
49061,2026-06-07T11:15:30.345112,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}",7.061,Steel,0.95,,,,
50654,2026-06-07T11:15:42.736605,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",12.38,Timber,1.0,,,,
51524,2026-06-07T11:15:47.951172,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Steel"",
        ""confidence"": 0.95
    }
}",5.209,Steel,0.95,,,,
51525,2026-06-07T11:16:03.115357,gemini-3-flash-preview,"```json
{
    ""structure_material"": {
        ""value"": ""Aluminum"",
        ""confidence"": 0.9
    }
}
```",15.163,Aluminum,0.9,,,,
51531,2026-06-07T11:16:21.233037,gemini-3-flash-preview,"```json
{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.9
    }
}
```",18.113,Timber,0.9,,,,
52551,2026-06-07T11:16:35.091886,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",13.857,Timber,1.0,,,,
53193,2026-06-07T11:16:46.288901,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",11.192,Timber,0.95,,,,
53798,2026-06-07T11:16:50.395444,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",4.101,Timber,1.0,,,,
53985,2026-06-07T11:17:01.306851,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 0.95
    }
}",10.908,Timber,0.95,,,,
53986,2026-06-07T11:17:16.243377,gemini-3-flash-preview,"```json
{
    ""structure_material"": {
        ""value"": ""Aluminum"",
        ""confidence"": 0.9
    }
}
```",14.912,Aluminum,0.9,,,,
54184,2026-06-07T11:17:33.883902,gemini-3-flash-preview,"{
    ""structure_material"": {
        ""value"": ""Timber"",
        ""confidence"": 1.0
    }
}",17.635,Timber,1.0,,,,
