attribute,asset_type,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,inner_macro_f1_mean
width_bin,Boardwalk < 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,703,176,703,176,0.6818181818181818,0.6783744638389134,0.5844692005242464,
width_bin,Boardwalk < 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,703,176,703,176,0.7329545454545454,0.7346694658724733,0.6649857088241183,
width_bin,Boardwalk < 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,703,176,703,176,0.6875,0.683861232095135,0.5881734648899738,
width_bin,Boardwalk < 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,703,176,703,176,0.6988636363636364,0.6963146927699166,0.6285918519063141,
width_bin,Boardwalk < 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,704,175,704,175,0.6228571428571429,0.6263945578231291,0.5908289241622575,
width_bin,Boardwalk > 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,56,15,56,15,0.6666666666666666,0.6400000000000001,0.26666666666666666,
width_bin,Boardwalk > 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,57,14,57,14,0.6428571428571429,0.6718045112781955,0.5456140350877193,
width_bin,Boardwalk > 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,57,14,57,14,0.7857142857142857,0.7546583850931677,0.45652173913043476,
width_bin,Boardwalk > 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,57,14,57,14,0.9285714285714286,0.8944099378881988,0.6521739130434783,
width_bin,Boardwalk > 1.2m High,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,57,14,57,14,0.8571428571428571,0.7912087912087912,0.3076923076923077,
width_bin,Stairs,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,3,768,2,1,2,1,1.0,1.0,1.0,
width_bin,Stairs,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,3,768,2,1,2,1,0.0,0.0,0.0,
width_bin,Trail Bridge,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,501,125,501,125,0.688,0.6873281715306729,0.6012520336522719,
width_bin,Trail Bridge,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,500,126,500,126,0.5793650793650794,0.5798175995544416,0.4926900584795321,
width_bin,Trail Bridge,width_bin,data/processed/train/width_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,501,125,501,125,0.568,0.5690565670306067,0.5204796849829962,
