attribute,asset_type,target_column,target_file,feature_file,task_type,strategy,classifier,splitter,fold,n_folds,n_features,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,inner_macro_f1_mean
length_bin,Boardwalk < 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,804,201,804,201,0.5223880597014925,0.535795964466565,0.3578843113726835,
length_bin,Boardwalk < 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,804,201,804,201,0.5771144278606966,0.5887324717549928,0.4176844072306178,
length_bin,Boardwalk < 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,804,201,804,201,0.582089552238806,0.5948825199397242,0.4157175365511425,
length_bin,Boardwalk < 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,804,201,804,201,0.5771144278606966,0.5825406324174277,0.41577942497753817,
length_bin,Boardwalk < 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,804,201,804,201,0.5621890547263682,0.5660152887175668,0.3934556671398777,
length_bin,Boardwalk > 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,1,5,768,27,7,27,7,0.5714285714285714,0.5714285714285714,0.26666666666666666,
length_bin,Boardwalk > 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,2,5,768,27,7,27,7,0.7142857142857143,0.6571428571428571,0.5166666666666667,
length_bin,Boardwalk > 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,3,5,768,27,7,27,7,0.5714285714285714,0.4571428571428572,0.26666666666666666,
length_bin,Boardwalk > 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,4,5,768,27,7,27,7,0.7142857142857143,0.6802721088435374,0.5079365079365079,
length_bin,Boardwalk > 1.2m High,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,StratifiedGroupKFold,5,5,768,28,6,28,6,0.8333333333333334,0.7592592592592592,0.6296296296296297,
length_bin,Stairs,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,1,5,768,21,6,21,6,0.3333333333333333,0.38095238095238093,0.19047619047619047,
length_bin,Stairs,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,2,5,768,21,6,21,6,0.5,0.5,0.6,
length_bin,Stairs,length_bin,data/processed/train/length_bin_train.csv,data/features/dinov3_vitb16_remaining_attributes_assets.csv,classification,dinov3_frozen_embeddings_logistic_regression,logistic_regression,GroupKFold,3,5,768,22,5,22,5,0.4,0.34,0.3,
