asset_id,timestamp,model,response,material_frame_tank_body_value,material_frame_tank_body_confidence,parse_error
46496,2026-05-22T00:07:16.580146,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Rock/Stone"",
        ""confidence"": 0.95
    }
}
```",Rock/Stone,0.95,
47049,2026-05-22T00:10:21.294934,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",unable to determine,0.0,
47050,2026-05-22T00:10:44.121533,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Rock/Stone"",
        ""confidence"": 0.95
    }
}
```",Rock/Stone,0.95,
47053,2026-05-22T00:12:13.125598,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.85
    }
}
```",Concrete,0.85,
47054,2026-05-22T00:12:55.454061,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}
```",Timber/Wood,0.95,
47184,2026-05-22T00:14:05.351198,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95,
48269,2026-05-22T00:14:53.575769,gemma-4-26b-a4b-it,,,,True
48347,2026-05-22T00:15:26.549582,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.9
    }
}",Timber/Wood,0.9,
48394,2026-05-22T00:15:34.638347,gemma-4-26b-a4b-it,,,,True
48395,2026-05-22T00:16:00.042685,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}
```",Concrete,0.95,
48799,2026-05-22T00:16:07.198754,gemma-4-26b-a4b-it,,,,True
48937,2026-05-22T00:16:09.691792,gemma-4-26b-a4b-it,,,,True
49501,2026-05-22T00:16:11.802466,gemma-4-26b-a4b-it,,,,True
49525,2026-05-22T00:16:13.767362,gemma-4-26b-a4b-it,,,,True
49702,2026-05-22T00:16:38.794262,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",Timber/Wood,1.0,
49704,2026-05-22T00:17:58.311813,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.98
    }
}",Timber/Wood,0.98,
49705,2026-05-22T00:18:48.078923,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}
```",Timber/Wood,1.0,
49707,2026-05-22T00:18:55.442101,gemma-4-26b-a4b-it,,,,True
49710,2026-05-22T00:18:59.038307,gemma-4-26b-a4b-it,,,,True
49711,2026-05-22T00:19:02.322868,gemma-4-26b-a4b-it,,,,True
50514,2026-05-22T00:19:04.291622,gemma-4-26b-a4b-it,,,,True
50723,2026-05-22T00:19:07.848418,gemma-4-26b-a4b-it,,,,True
50805,2026-05-22T00:19:10.101972,gemma-4-26b-a4b-it,,,,True
51270,2026-05-22T00:19:12.849834,gemma-4-26b-a4b-it,,,,True
51458,2026-05-22T00:19:31.695187,gemma-4-26b-a4b-it,,,,True
51536,2026-05-22T00:21:00.668148,gemma-4-26b-a4b-it,,,,True
51537,2026-05-22T00:21:23.585594,gemma-4-26b-a4b-it,,,,True
51545,2026-05-22T00:21:28.002777,gemma-4-26b-a4b-it,,,,True
51695,2026-05-22T00:22:12.550773,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}
```",Concrete,0.9,
51804,2026-05-22T00:23:01.498745,gemma-4-26b-a4b-it,,,,True
51805,2026-05-22T00:24:27.317977,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""unable to determine"",
        ""confidence"": 0.0
    }
}
```",unable to determine,0.0,
52162,2026-05-22T00:24:49.635935,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",Timber/Wood,0.95,
52248,2026-05-22T00:24:57.209061,gemma-4-26b-a4b-it,,,,True
52621,2026-05-22T00:25:10.627876,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}
```",Timber/Wood,0.95,
52622,2026-05-22T00:25:18.711735,gemma-4-26b-a4b-it,,,,True
52952,2026-05-22T00:25:37.143950,gemma-4-26b-a4b-it,,,,True
53110,2026-05-22T00:26:20.573531,gemma-4-26b-a4b-it,,,,True
53111,2026-05-22T00:27:14.541238,gemma-4-26b-a4b-it,,,,True
53212,2026-05-22T00:27:38.198094,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}
```",Timber/Wood,1.0,
53214,2026-05-22T00:27:45.465859,gemma-4-26b-a4b-it,,,,True
53222,2026-05-22T00:28:29.493774,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}",Concrete,0.95,
53428,2026-05-22T00:29:40.256022,gemma-4-26b-a4b-it,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}",Concrete,0.95,
53688,2026-05-22T00:30:53.883646,gemma-4-26b-a4b-it,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}
```",Concrete,0.95,
53805,2026-05-22T00:31:01.448954,gemma-4-26b-a4b-it,,,,True
