asset_id,timestamp,model,response,fall_height_bin_value,fall_height_bin_confidence,material_frame_tank_body_value,material_frame_tank_body_confidence,parse_error,has_pedestrian_railing_value,has_pedestrian_railing_confidence,steps_bin_value,steps_bin_confidence,structure_position_value,structure_position_confidence
51537,2026-05-27T09:03:59.435560,gemini-3-flash-preview,"{
    ""fall_height"": {""value"": ""high"", ""confidence"": 0.9}
}",high,0.9,,,,,,,,,
121499,2026-05-27T09:04:09.291746,gemini-3-flash-preview,"{
    ""fall_height"": {""value"": ""high (>1.2m)"", ""confidence"": 0.95}
}",high (>1.2m),0.95,,,,,,,,,
125311,2026-05-27T09:04:18.385993,gemini-3-flash-preview,"{
    ""fall_height"": {""value"": ""low (<0.5m)"", ""confidence"": 0.9}
}",low (<0.5m),0.9,,,,,,,,,
126700,2026-05-27T09:04:26.990522,gemini-3-flash-preview,"{
    ""fall_height"": {""value"": ""low (<0.5m)"", ""confidence"": 0.95}
}",low (<0.5m),0.95,,,,,,,,,
126777,2026-05-27T09:04:39.892314,gemini-3-flash-preview,"{
    ""fall_height"": {""value"": ""high (>1.2m)"", ""confidence"": 0.9}
}",high (>1.2m),0.9,,,,,,,,,
46496,2026-05-27T11:25:56.051567,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Rock/Stone"",
        ""confidence"": 1.0
    }
}",,,Rock/Stone,1.0,,,,,,,
47049,2026-05-27T11:26:05.674703,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Rock/Stone"",
        ""confidence"": 1.0
    }
}",,,Rock/Stone,1.0,,,,,,,
47050,2026-05-27T11:26:13.900474,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Rock/Stone"",
        ""confidence"": 0.95
    }
}",,,Rock/Stone,0.95,,,,,,,
47053,2026-05-27T11:26:24.544145,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}",,,Concrete,0.9,,,,,,,
47054,2026-05-27T11:26:36.502530,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.95
    }
}",,,Timber/Wood,0.95,,,,,,,
47184,2026-05-27T11:26:44.911979,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",,,Timber/Wood,1.0,,,,,,,
48269,2026-05-27T11:26:53.494433,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 1.0
    }
}",,,Timber/Wood,1.0,,,,,,,
48347,2026-05-27T11:27:07.431607,gemini-3-flash-preview,"```json
{
    ""material_frame_tank_body"": {
        ""value"": ""Timber/Wood"",
        ""confidence"": 0.9
    }
}
```",,,Timber/Wood,0.9,,,,,,,
48394,2026-05-27T11:27:17.666031,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.95
    }
}",,,Concrete,0.95,,,,,,,
48395,2026-05-27T11:27:26.776294,gemini-3-flash-preview,"{
    ""material_frame_tank_body"": {
        ""value"": ""Concrete"",
        ""confidence"": 0.9
    }
}",,,Concrete,0.9,,,,,,,
