attribute,target_column,target_file,task_type,strategy,splitter,knn_k,n_folds,n_labels,n_assets,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,1123,576,0.6146957664587791,0.02958231109732835,0.6002570677014331,0.034769222901749115,0.35693091061027793,0.018271401406103702,,,,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,1158,614,0.8722440532701711,0.01809184289216292,0.8478056196910831,0.021327755397665953,0.3924496505762921,0.0457032481264459,,,,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,2835,1856,0.9549358129829966,0.016596458982468452,0.9460722690011879,0.02031778475108984,0.35181193501307506,0.03788860630448715,,,,,,
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,5,5,238,122,,,,,,,1.6056616114665243,0.5493825902162174,2.9120677134165347,1.341547390907886,-2.547086987048403,3.0631614048387323
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,2456,1721,0.8879325425806094,0.008554823652051216,0.869560555093687,0.0046631469700013015,0.6170096845125702,0.012451944260424026,,,,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,3445,2480,0.8914255748097227,0.006962582162624143,0.8821519195652767,0.009487020695464834,0.6280774468597727,0.031307656050461645,,,,,,
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,5,5,2481,1744,,,,,,,32.63538857454262,4.1765113321385785,133.53999118411653,29.941709690249873,-0.16012274474609117,0.07947054161320867
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,5,5,1393,804,0.7470107761277026,0.06471513794341853,0.7247502189782383,0.07185883924689895,0.4048259904095737,0.05052445714025836,,,,,,
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,5,5,52,29,,,,,,,15.254557387057385,6.32430813731863,20.352746999306937,10.146198231079039,-15.695524029433267,18.640932709436154
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,2640,1758,0.8722176075269031,0.03221424868729938,0.8532277336004398,0.03628451233887201,0.49401560803876554,0.08060299961691667,,,,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,1014,613,0.8552397649806581,0.044318131646170066,0.8495424336448666,0.043042210442766266,0.6551047873399369,0.06590938583894579,,,,,,
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,5,5,2634,1734,,,,,,,0.47457511538249,0.10368940291414407,1.1979939229471845,0.5374416148955591,0.19163730756303018,0.04936486349272577
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,238,122,0.3821937410221097,0.04262367828414855,0.35381784808176925,0.05885524069139208,0.2872488975853311,0.06404236922684368,,,,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,2481,1744,0.4782244209186146,0.017453559725258076,0.4549405694976564,0.02347096212278356,0.277288653102147,0.033952250879042876,,,,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,52,29,0.37345848595848596,0.13172730589754164,0.3514114873730258,0.15157831709095526,0.3736408036408036,0.13657385353963578,,,,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,5,5,2634,1734,0.6200563977039757,0.032162545541612186,0.6046969694831204,0.03603155819188321,0.3369394244221877,0.05287021017633947,,,,,,
