attribute,target_column,target_file,task_type,strategy,splitter,fold,n_folds,knn_k,n_train_labels,n_valid_labels,n_train_assets,n_valid_assets,accuracy,weighted_f1,macro_f1,mae,rmse,r2
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,1,5,10,909,222,460,116,0.6261261261261262,0.6106336939670273,0.5111675361675362,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,2,5,10,897,233,461,115,0.6609442060085837,0.6275517995209849,0.31464887640449435,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,3,5,10,931,203,461,115,0.645320197044335,0.6148550362639331,0.3453511099618279,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,4,5,10,918,213,461,115,0.5586854460093896,0.5043904324656592,0.3207118463150519,,,
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,10,881,252,461,115,0.623015873015873,0.616033169599155,0.32926461455389094,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,10,933,232,491,123,0.8706896551724138,0.8283686470018004,0.3736546184738956,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,10,933,232,490,124,0.8405172413793104,0.8041266670961922,0.3511526319180465,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,10,933,233,491,123,0.8540772532188842,0.8310456117489744,0.38894969108561345,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,10,932,231,493,121,0.8787878787878788,0.8414320926282649,0.2866028708133971,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,10,933,230,491,123,0.8826086956521739,0.8634944843640495,0.432006912006912,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,1,5,10,2357,562,1484,372,0.9323843416370107,0.91397479463784,0.4387568922305764,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,2,5,10,2326,592,1485,371,0.964527027027027,0.9577680624758274,0.4063809108884346,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,3,5,10,2338,578,1485,371,0.9740484429065744,0.9667845030124712,0.35729486023444545,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,4,5,10,2376,537,1485,371,0.9534450651769087,0.9411819659572878,0.3337184554575859,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,5,5,10,2343,566,1485,371,0.9363957597173145,0.925880955975864,0.373817893746596,,,
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,1,5,10,185,54,97,25,,,,2.577222222222222,3.7522414288982984,-0.08990527075250654
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,2,5,10,177,61,97,25,,,,1.4583606557377051,1.9757360114360538,-5.5544903194655335
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,3,5,10,198,41,98,24,,,,1.861707317073171,4.998846940216046,-0.029528170311178714
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,4,5,10,207,32,98,24,,,,1.1721875,1.4739249260053917,-1.1502019867629683
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,5,5,10,189,50,98,24,,,,1.0219999999999998,1.6556784108032574,-2.2006395976069375
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,10,2069,501,1376,345,0.9001996007984032,0.8771811216277123,0.6258960573476703,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,10,2069,486,1377,344,0.8930041152263375,0.8515394759599425,0.5232777484343167,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,10,2070,492,1377,344,0.8922764227642277,0.858028334432561,0.5505920066180652,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,10,2070,496,1377,344,0.8971774193548387,0.8737875662084306,0.6131577740055971,,,
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,10,2070,481,1377,344,0.8877338877338877,0.8668736303871438,0.6047297297297297,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,1,5,10,2881,690,1984,496,0.8797101449275362,0.8618756193305266,0.5618936334463479,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,2,5,10,2881,680,1984,496,0.8808823529411764,0.8670998632010943,0.5976744186046511,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,3,5,10,2881,690,1985,495,0.9072463768115943,0.8986017525147959,0.6581012951383322,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,4,5,10,2880,694,1983,497,0.8919308357348703,0.8772877148018721,0.5932107295985259,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,5,5,10,2881,691,1984,496,0.9030390738060782,0.8958448470110778,0.6764075708195082,,,
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,1,5,10,2134,479,1395,349,,,,33.50451315240083,139.49691532785755,-0.07130463459655756
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,2,5,10,2075,529,1395,349,,,,32.782471833648394,126.36544886725666,-0.02434255296790444
