attribute,target_column,target_file,task_type,strategy,splitter,knn_k,n_folds,n_labels,n_assets,accuracy_mean,accuracy_std,weighted_f1_mean,weighted_f1_std,macro_f1_mean,macro_f1_std,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
attr_abutment_material,attr_abutment_material,data\processed\train\attr_abutment_material_train.csv,classification,knn_group_cv,GroupKFold,10,5,1123,576,0.6228183696408615,0.034882441971006546,0.594692826363352,0.04549784759322795,0.3642287966805603,0.07419130368628665,,,,,,
attr_bridge_type,attr_bridge_type,data\processed\train\attr_bridge_type_train.csv,classification,knn_group_cv,StratifiedGroupKFold,10,5,1158,614,0.8653361448421322,0.01581575695418951,0.8336935005678562,0.01927458152353304,0.36647334485957295,0.04788616109660267,,,,,,
attr_decking_material,attr_decking_material,data\processed\train\attr_decking_material_train.csv,classification,knn_group_cv,GroupKFold,10,5,2835,1856,0.9521601272929671,0.015957986202333834,0.9411180564118581,0.01951880711975902,0.38199380251152765,0.03694366461616235,,,,,,
attr_fall_height,attr_fall_height,data\processed\train\attr_fall_height_train.csv,regression,knn_group_cv,GroupKFold,10,5,238,122,,,,,,,1.6182955390066194,0.55838151772353,2.7712855434718096,1.3773109401695829,-1.804953068979825,2.0365568453837963
attr_has_edge_guard,attr_has_edge_guard,data\processed\train\attr_has_edge_guard_train.csv,classification,knn_group_cv,StratifiedGroupKFold,10,5,2456,1721,0.894078289175539,0.00428315457910734,0.8654820257231581,0.009568067924430207,0.5835306632270758,0.03959131615112037,,,,,,
attr_has_pedestrian_railing,attr_has_pedestrian_railing,data\processed\train\attr_has_pedestrian_railing_train.csv,classification,knn_group_cv,StratifiedGroupKFold,10,5,3445,2480,0.8925617568442512,0.011201631132465924,0.8801419593718733,0.01482731807299155,0.617457529521473,0.042880411340508955,,,,,,
attr_length,attr_length,data\processed\train\attr_length_train.csv,regression,knn_group_cv,GroupKFold,10,5,2481,1744,,,,,,,31.311818643428467,4.06681418889195,128.25678035631407,30.60765267176372,-0.061698226153320324,0.02688281043962919
"attr_material_frame,_tank,_body","attr_material_frame,_tank,_body",data\processed\train\attr_material_frame_tank_body_train.csv,classification,knn_group_cv,GroupKFold,10,5,1393,804,0.7584667094373957,0.06824498301441366,0.7308941500496683,0.08071557354693858,0.409690814838571,0.05256187654606429,,,,,,
attr_number_of_steps,attr_number_of_steps,data\processed\train\attr_number_of_steps_train.csv,regression,knn_group_cv,GroupKFold,10,5,52,29,,,,,,,14.104336080586084,7.636890312962422,18.953472919794216,12.604827249383783,-11.912885325044044,14.91463767284636
attr_structure_material,attr_structure_material,data\processed\train\attr_structure_material_train.csv,classification,knn_group_cv,GroupKFold,10,5,2640,1758,0.8764187301926573,0.03022197947094506,0.8502259192937689,0.036219249930590516,0.4858236015808373,0.08403799789357631,,,,,,
attr_structure_position,attr_structure_position,data\processed\train\attr_structure_position_train.csv,classification,knn_group_cv,StratifiedGroupKFold,10,5,1014,613,0.8522445508791738,0.02949892145921629,0.8402967280243528,0.028908294638065435,0.5722674742863296,0.021259152440775076,,,,,,
attr_width,attr_width,data\processed\train\attr_width_train.csv,regression,knn_group_cv,GroupKFold,10,5,2634,1734,,,,,,,0.4703238676691782,0.10271920597690137,1.193206971150601,0.5512005737512632,0.20450656635241674,0.060739215949547946
fall_height_bin,fall_height_bin,data\processed\train\fall_height_bin_train.csv,classification,knn_group_cv,GroupKFold,10,5,238,122,0.39646744635479136,0.04765921191608883,0.36881191673250174,0.07628711405927634,0.2994423047235225,0.02906763644554205,,,,,,
length_bin,length_bin,data\processed\train\length_bin_train.csv,classification,knn_group_cv,GroupKFold,10,5,2481,1744,0.4831424218421739,0.021910524101901717,0.4463648548001834,0.024407851077073734,0.25139264810503387,0.0317422538207263,,,,,,
steps_bin,steps_bin,data\processed\train\steps_bin_train.csv,classification,knn_group_cv,GroupKFold,10,5,52,29,0.4057081807081807,0.2125231545053144,0.3757144339217168,0.18438387212101953,0.3438873327108621,0.21055409881960677,,,,,,
width_bin,width_bin,data\processed\train\width_bin_train.csv,classification,knn_group_cv,GroupKFold,10,5,2634,1734,0.622490260137838,0.037058891461616526,0.5978195838463964,0.042616351585425094,0.31425796422506064,0.05058491927792941,,,,,,
