attribute,n_assets,n_labels,accuracy_mean,weighted_f1_mean,macro_f1_mean,model
attr_abutment_material,576,1134,0.6064128162689073,0.4590212952337399,0.1651396755419639,Baseline
attr_abutment_material,573,573,0.7086193745232647,0.7144328229154866,0.4177028811446723,DINOv3
attr_abutment_material,573,573,0.6806407322654462,0.6836457681306715,0.3796760506642102,SigLIP
attr_bridge_type,614,1166,0.8447709181614762,0.7736879540588827,0.1831707764528139,Baseline
attr_bridge_type,612,612,0.8496601359456216,0.8478928108404045,0.4543359862456565,DINOv3
attr_bridge_type,612,612,0.8464880714380915,0.8445766803939776,0.4358410211928486,SigLIP
attr_decking_material,1856,2935,0.9295669403528736,0.8956823679984922,0.2120179581816583,Baseline
attr_decking_material,1774,1774,0.9588509588605076,0.9572145454041364,0.4029834924692402,DINOv3
attr_decking_material,1774,1774,0.9537646216280736,0.9520517123133252,0.4653138792475007,SigLIP
attr_has_edge_guard,1721,2587,0.8971785546253631,0.8485542911099546,0.4729014090703858,Baseline
attr_has_edge_guard,1616,1616,0.9077858043802316,0.911791982521508,0.7037730809320959,DINOv3
attr_has_edge_guard,1616,1616,0.8830371134808699,0.8893678303847368,0.6327449510647376,SigLIP
attr_has_pedestrian_railing,2480,3601,0.8622607489597781,0.7984850302613479,0.308678822552736,Baseline
attr_has_pedestrian_railing,2355,2355,0.91380042462845,0.9178152822199004,0.6817352054770981,DINOv3
attr_has_pedestrian_railing,2355,2355,0.9087048832271762,0.9124683247894652,0.6540151160190966,SigLIP
attr_material_frame_tank_body,804,1416,0.6066152323831807,0.4590812881472588,0.0964020937606756,Baseline
attr_material_frame_tank_body,785,785,0.7681528662420382,0.7668777408240367,0.4701309071423165,DINOv3
attr_material_frame_tank_body,785,785,0.7630573248407643,0.7598566092938409,0.4261234567542915,SigLIP
attr_structure_material,1758,2739,0.8425086592108524,0.7708748435733019,0.2348029946572694,Baseline
attr_structure_material,1674,1674,0.9092018947180266,0.911633199345043,0.5689601870718621,DINOv3
attr_structure_material,1674,1674,0.8972615962105639,0.9018706411488596,0.5135741453975575,SigLIP
attr_structure_position,613,1038,0.5944119286510591,0.4432063750137226,0.2485391607627985,Baseline
attr_structure_position,594,594,0.8905569007263923,0.8890138392426572,0.7665992866266392,DINOv3
attr_structure_position,594,594,0.8854151830223616,0.8850966605473405,0.803820417080777,SigLIP
fall_height_bin,122,239,0.3498199871783664,0.1838546149253225,0.0929483535560286,Baseline
fall_height_bin,122,122,0.6303333333333333,0.6094196370880581,0.5214662764136448,DINOv3
fall_height_bin,122,122,0.5163333333333334,0.5068121992386698,0.4166181344332605,SigLIP
length_bin,1744,2639,0.3262960428283465,0.1608916924959434,0.0443359844158729,Baseline
length_bin,1599,1599,0.4853134796238244,0.4867481764913958,0.261800376491797,DINOv3
length_bin,1599,1599,0.4684012539184953,0.4770065894193049,0.2582031195173491,SigLIP
steps_bin,29,52,0.4396367521367521,0.2892515455558934,0.2365729761381935,Baseline
steps_bin,29,29,0.4466666666666666,0.4438730158730158,0.4193650793650793,DINOv3
steps_bin,29,29,0.5133333333333333,0.47,0.3977777777777778,SigLIP
width_bin,1734,2755,0.5564906741381007,0.3983555052787466,0.1139407386755067,Baseline
width_bin,1630,1630,0.6276073619631901,0.6282203662040838,0.3868055848960255,DINOv3
width_bin,1630,1630,0.6226993865030674,0.6263377494945248,0.356182987005256,SigLIP
