attribute,dinov3_minus_baseline_accuracy_mean,siglip_minus_baseline_accuracy_mean,siglip_minus_dinov3_accuracy_mean,dinov3_minus_baseline_weighted_f1_mean,siglip_minus_baseline_weighted_f1_mean,siglip_minus_dinov3_weighted_f1_mean,dinov3_minus_baseline_macro_f1_mean,siglip_minus_baseline_macro_f1_mean,siglip_minus_dinov3_macro_f1_mean
attr_abutment_material,0.10220655825435743,0.07422791599653888,-0.027978642257818542,0.2554115276817467,0.22462447289693155,-0.030787054784815138,0.2525632056027084,0.21453637512224627,-0.038026830480462126
attr_bridge_type,0.0048892177841454165,0.0017171532766152575,-0.003172064507530159,0.07420485678152178,0.07088872633509491,-0.003316130446426868,0.27116520979284264,0.25267024474003474,-0.0184949650528079
attr_decking_material,0.02928401850763407,0.024197681275200056,-0.005086337232434013,0.061532177405644206,0.05636934431483298,-0.005162833090811225,0.1909655342875819,0.25329592106584237,0.06233038677826047
attr_has_edge_guard,0.010607249754868486,-0.014141441144493228,-0.024748690899361714,0.06323769141155333,0.04081353927478215,-0.02242415213677118,0.2308716718617101,0.1598435419943518,-0.07102812986735829
attr_has_pedestrian_railing,0.0515396756686719,0.04644413426739813,-0.005095541401273773,0.11933025195855251,0.11398329452811728,-0.0053469574304352285,0.3730563829243621,0.3453362934663606,-0.02772008945800153
attr_material_frame_tank_body,0.16153763385885744,0.15644209245758356,-0.005095541401273884,0.3077964526767779,0.3007753211465821,-0.00702113153019579,0.3737288133816409,0.3297213629936159,-0.044007450388025005
attr_structure_material,0.06669323550717421,0.05475293699971151,-0.011940298507462699,0.14075835577174112,0.13099579757555768,-0.009762558196183435,0.33415719241459274,0.27877115074028813,-0.05538604167430461
attr_structure_position,0.2961449720753332,0.2910032543713025,-0.005141717704030713,0.4458074642289346,0.44189028553361787,-0.003917178695316714,0.5180601258638408,0.5552812563179785,0.037221130454137774
fall_height_bin,0.2805133461549669,0.16651334615496705,-0.11399999999999988,0.4255650221627356,0.3229575843133473,-0.1026074378493883,0.42851792285761625,0.3236697808772319,-0.10484814198038434
length_bin,0.15901743679547786,0.1421052110901488,-0.016912225705329076,0.3258564839954524,0.3161148969233615,-0.009741587072090885,0.2174643920759241,0.2138671351014762,-0.0035972569744479044
steps_bin,0.007029914529914527,0.07369658119658123,0.06666666666666671,0.15462147031712242,0.1807484544441066,0.026126984126984165,0.18279210322688577,0.16120480163958428,-0.02158730158730149
width_bin,0.0711166878250894,0.06620871236496673,-0.004907975460122671,0.22986486092533726,0.22798224421577823,-0.0018826167095590263,0.2728648462205188,0.24224224832974933,-0.030622597890769487
