asset_id,timestamp,model,response,structure_position_value,structure_position_confidence,parse_error,has_pedestrian_railing_value,has_pedestrian_railing_confidence,material_frame_tank_body_value,material_frame_tank_body_confidence,fall_height_bin_value,fall_height_bin_confidence,steps_bin_value,steps_bin_confidence
46496,,,,,,,No railings,1.0,Rock/Stone,1.0,,,,
47049,2026-05-27T07:55:32.472747,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,1 railing,1.0,Rock/Stone,1.0,,,,
47050,2026-05-27T07:55:41.777308,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Rock/Stone,0.95,,,,
47053,2026-05-27T07:55:53.157438,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.9,,,,
47054,2026-05-27T07:56:02.592488,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,0.95,,,,
47184,2026-05-27T07:56:11.902496,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,2 railings,1.0,Timber/Wood,1.0,,,,
48269,2026-05-27T07:56:20.394631,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,1.0,,,,
48347,2026-05-27T07:56:29.091680,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 1.0
    }
}",At-Grade,1.0,,No railings,1.0,Timber/Wood,0.9,,,,
48394,2026-05-27T07:56:38.203177,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.95,,,,
48395,2026-05-27T07:56:46.804755,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,,,Concrete,0.9,,,,
48799,2026-05-27T07:56:55.818644,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Timber/Wood,0.95,,,,
48937,2026-05-27T07:57:06.877280,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Concrete,0.95,,,,
49501,2026-05-27T07:57:15.171464,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,Timber/Wood,0.9,,,,
49525,2026-05-27T07:57:23.822565,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""Elevated"",
        ""confidence"": 0.95
    }
}",Elevated,0.95,,1 railing,1.0,Timber/Wood,1.0,,,,
49702,2026-05-27T07:57:34.095107,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,2 railings,1.0,Timber/Wood,1.0,,,,
49703,2026-05-27T07:57:43.946823,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,No railings,1.0,,,,,,
49704,2026-05-27T07:57:54.398100,gemini-3-flash-preview,"{
    ""structure_position"": {
        ""value"": ""At-Grade"",
        ""confidence"": 0.95
    }
}",At-Grade,0.95,,1 railing,1.0,Timber/Wood,1.0,,,,
