Unnamed: 0,image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
1857,data/citywide/images/253/64102/84320__asset64102_approachfromCrestMtn.jpg,True,64102,253,Trail Bridge,"88' LONG BRIDGE3 LOG STINGERS 64' LONG DECKING 58""X8""X2"" RAILINGS 12' RAMP AT BOTH ENDS10U 0292409 5524874; Comments: AT DRUM NARROWS, BRIDGE WAS CONDEMNED IN 2008",84320,asset64102_approachfromCrestMtn.jpg,Concrete,,Timber,2.0,No,,18.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),medium (1.2-5m),
2137,data/citywide/images/253/100826/44780__AST_IM_20220606_123321.jpeg,True,100826,253,Trail Bridge,Boardwalk on Leighton lake trail,44780,AST_IM_20220606_123321.jpeg,,,,,No,No railings,,,,,,,False,,,,
2138,data/citywide/images/253/100826/44781__AST_IM_20220606_123338.jpeg,True,100826,253,Trail Bridge,Boardwalk on Leighton lake trail,44781,AST_IM_20220606_123338.jpeg,,,,,No,No railings,,,,,,,False,,,,
2139,data/citywide/images/253/100837/44779__AST_IM_20220606_123533.jpeg,True,100837,253,Trail Bridge,Boardwalk on Leighton lake trail,44779,AST_IM_20220606_123533.jpeg,,,,,,No railings,,,,,,,False,,,,
2140,data/citywide/images/253/101132/45173__AST_IM_20220607_124950.jpeg,True,101132,253,Trail Bridge,"Wooden trail bridge, 8m long x 1.5 m wide, 1m high, handrails",45173,AST_IM_20220607_124950.jpeg,,Beam,Timber,,,,8.0,,,,,1.5,True,medium (6-20m),wide (>1.5m),,
2141,data/citywide/images/253/101132/78080__AST_EX_20241211_132206.jpeg,True,101132,253,Trail Bridge,"Wooden trail bridge, 8m long x 1.5 m wide, 1m high, handrails",78080,AST_EX_20241211_132206.jpeg,,Beam,Timber,,,,8.0,,,,,1.5,True,medium (6-20m),wide (>1.5m),,
2142,data/citywide/images/253/101132/78085__AST_EX_20241211_132243.jpeg,True,101132,253,Trail Bridge,"Wooden trail bridge, 8m long x 1.5 m wide, 1m high, handrails",78085,AST_EX_20241211_132243.jpeg,,Beam,Timber,,,,8.0,,,,,1.5,True,medium (6-20m),wide (>1.5m),,
2143,data/citywide/images/253/101132/78086__AST_EX_20241211_131833.jpeg,True,101132,253,Trail Bridge,"Wooden trail bridge, 8m long x 1.5 m wide, 1m high, handrails",78086,AST_EX_20241211_131833.jpeg,,Beam,Timber,,,,8.0,,,,,1.5,True,medium (6-20m),wide (>1.5m),,
2324,data/citywide/images/253/114996/67237__114996_photo.png,True,114996,253,Trail Bridge,25ft,67237,114996 photo.png,Concrete,Truss,Timber,,Yes,,11.0,,,,,1.2,True,medium (6-20m),standard (0.9-1.5m),,
2325,data/citywide/images/253/114997/88127__AST_EX_20250917_141553.jpeg,True,114997,253,Trail Bridge,25 ft wooden bridge ,88127,AST_EX_20250917_141553.jpeg,Concrete,Truss,Timber,,Yes,,9.5,,,,,1.2,True,medium (6-20m),standard (0.9-1.5m),,
2326,data/citywide/images/253/114997/88154__AST_EX_20250917_141558.jpeg,True,114997,253,Trail Bridge,25 ft wooden bridge ,88154,AST_EX_20250917_141558.jpeg,Concrete,Truss,Timber,,Yes,,9.5,,,,,1.2,True,medium (6-20m),standard (0.9-1.5m),,
2327,data/citywide/images/253/115806/63887__MI_20221012_111739.jpg,True,115806,253,Trail Bridge,"Split Log Bridge circa 1997, 20'long, 8' wide.  60/100",63887,MI_20221012_111739.jpg,,,Timber,,No,No railings,,,,Timber,,2.5,False,,wide (>1.5m),,
2328,data/citywide/images/253/115806/66345__AST_EX_20230925_154731.jpeg,True,115806,253,Trail Bridge,"Split Log Bridge circa 1997, 20'long, 8' wide.  60/100",66345,AST_EX_20230925_154731.jpeg,,,Timber,,No,No railings,,,,Timber,,2.5,False,,wide (>1.5m),,
2329,data/citywide/images/253/115807/66309__AST_EX_20230925_145801.jpeg,True,115807,253,Trail Bridge,Split Log Bridge Circa 1997.  75/100. 12 feet long 6 feet wide,66309,AST_EX_20230925_145801.jpeg,,,Timber,,No,No railings,,,,Timber,,2.5,False,,wide (>1.5m),,
2330,data/citywide/images/253/115809/63902__MI_20221012_114629.jpg,True,115809,253,Trail Bridge,"Bridge Umbunkments with log water bar in the middle, no Bridge. circa 1998.  25' long, 8' wide.  Needs Bridge over top. 20/100",63902,MI_20221012_114629.jpg,,,Timber,,No,No railings,,,,Timber,,2.0,False,,wide (>1.5m),,
2331,data/citywide/images/253/115809/66344__AST_EX_20230925_154623.jpeg,True,115809,253,Trail Bridge,"Bridge Umbunkments with log water bar in the middle, no Bridge. circa 1998.  25' long, 8' wide.  Needs Bridge over top. 20/100",66344,AST_EX_20230925_154623.jpeg,,,Timber,,No,No railings,,,,Timber,,2.0,False,,wide (>1.5m),,
2332,data/citywide/images/253/115814/66338__AST_EX_20230925_154137.jpeg,True,115814,253,Trail Bridge,"Dimensional Lumber Decking with Log Strigers 90/100 circa 2000.  25' long, 6' wide",66338,AST_EX_20230925_154137.jpeg,,,Timber,,No,No railings,,,,Timber,,1.0,False,,standard (0.9-1.5m),,
2333,data/citywide/images/253/116847/64875__AST_IM_20230412_110227.jpeg,True,116847,253,Trail Bridge,20 ft clear span foot bridge on the Chris Hatfield trail,64875,AST_IM_20230412_110227.jpeg,Timber,Beam,Timber,,,,7.0,,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2334,data/citywide/images/253/116851/64887__AST_IM_20230412_113632.jpeg,True,116851,253,Trail Bridge,"Small bridge / boardwalk x2 in same area known as prices orchard, moss, rot, not great condition ",64887,AST_IM_20230412_113632.jpeg,Timber,,,,,,3.0,,,,,,True,short (<6m),,,
2335,data/citywide/images/253/116851/64888__AST_IM_20230412_113651.jpeg,True,116851,253,Trail Bridge,"Small bridge / boardwalk x2 in same area known as prices orchard, moss, rot, not great condition ",64888,AST_IM_20230412_113651.jpeg,Timber,,,,,,3.0,,,,,,True,short (<6m),,,
2336,data/citywide/images/253/116851/64889__AST_IM_20230412_113700.jpeg,True,116851,253,Trail Bridge,"Small bridge / boardwalk x2 in same area known as prices orchard, moss, rot, not great condition ",64889,AST_IM_20230412_113700.jpeg,Timber,,,,,,3.0,,,,,,True,short (<6m),,,
2337,data/citywide/images/253/116851/64890__AST_IM_20230412_113700.jpeg,True,116851,253,Trail Bridge,"Small bridge / boardwalk x2 in same area known as prices orchard, moss, rot, not great condition ",64890,AST_IM_20230412_113700.jpeg,Timber,,,,,,3.0,,,,,,True,short (<6m),,,
2338,data/citywide/images/253/116851/64893__AST_IM_20230412_113640.jpeg,True,116851,253,Trail Bridge,"Small bridge / boardwalk x2 in same area known as prices orchard, moss, rot, not great condition ",64893,AST_IM_20230412_113640.jpeg,Timber,,,,,,3.0,,,,,,True,short (<6m),,,
2339,data/citywide/images/253/116851/64894__AST_IM_20230412_113640.jpeg,True,116851,253,Trail Bridge,"Small bridge / boardwalk x2 in same area known as prices orchard, moss, rot, not great condition ",64894,AST_IM_20230412_113640.jpeg,Timber,,,,,,3.0,,,,,,True,short (<6m),,,
2340,data/citywide/images/253/117195/65265__AST_IM_20230616_133053.jpeg,True,117195,253,Trail Bridge,9.1m- rebarred,65265,AST_IM_20230616_133053.jpeg,,,Steel,,,,6.0,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2341,data/citywide/images/253/117196/65269__AST_IM_20230616_131110.jpeg,True,117196,253,Trail Bridge,,65269,AST_IM_20230616_131110.jpeg,Timber,Truss,Steel,,,,6.0,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2342,data/citywide/images/253/117196/65284__AST_IM_20230616_131059.jpeg,True,117196,253,Trail Bridge,,65284,AST_IM_20230616_131059.jpeg,Timber,Truss,Steel,,,,6.0,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
2343,data/citywide/images/253/117197/65274__AST_IM_20230616_114223.jpeg,True,117197,253,Trail Bridge,7.6m,65274,AST_IM_20230616_114223.jpeg,Gabions,,Steel,,,,4.0,,,Aluminum,,1.0,True,short (<6m),standard (0.9-1.5m),,
2344,data/citywide/images/253/117211/65243__AST_IM_20230616_131857.jpeg,True,117211,253,Trail Bridge,6.4m,65243,AST_IM_20230616_131857.jpeg,Timber,,Steel,,,,6.4,,,Aluminum,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
