,image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
1702,data/citywide/images/253/46926/55579__IMG_8936.JPG,True,46926,253,Trail Bridge,"STRINGERS 10""X10""X18FT DECKINGROUGH CUT 2X6 3FEET WIDE ;",55579,IMG_8936.JPG,,Beam,Timber,,No,No railings,6.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
1703,data/citywide/images/253/47182/34369__IMG_8322.JPG,True,47182,253,Trail Bridge,First Footbridge Across Creek Was Replaced In 1996. 48 Feet Long $20000.,34369,IMG_8322.JPG,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
1704,data/citywide/images/253/47389/52500__AST_EX_20220705_141353.jpeg,True,47389,253,Trail Bridge,Beaumont Service Area,52500,AST_EX_20220705_141353.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
1705,data/citywide/images/253/47533/45532__Otter_Marsh_South.JPG,True,47533,253,Trail Bridge,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,45532,Otter Marsh South.JPG,Concrete,Beam,Timber,,Yes,,,,,Timber,,1.5,False,,wide (>1.5m),,
1706,data/citywide/images/253/47533/77335__AST_EX_20241109_131920.jpeg,True,47533,253,Trail Bridge,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,77335,AST_EX_20241109_131920.jpeg,Concrete,Beam,Timber,,Yes,,,,,Timber,,1.5,False,,wide (>1.5m),,
1707,data/citywide/images/253/47637/89365__AST_EX_20251010_120542.jpeg,True,47637,253,Trail Bridge,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",89365,AST_EX_20251010_120542.jpeg,,Beam,Timber,,No,,10.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
1708,data/citywide/images/253/47637/89367__AST_EX_20251010_120124.jpeg,True,47637,253,Trail Bridge,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",89367,AST_EX_20251010_120124.jpeg,,Beam,Timber,,No,,10.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
1709,data/citywide/images/253/48111/13824__MI_20210810_083230.jpg,True,48111,253,Trail Bridge,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,13824,MI_20210810_083230.jpg,Timber,Truss,Timber,,No,,,,,Timber,,1.5,False,,wide (>1.5m),,
1710,data/citywide/images/253/48111/73467__AST_EX_20240913_124155.jpeg,True,48111,253,Trail Bridge,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,73467,AST_EX_20240913_124155.jpeg,Timber,Truss,Timber,,No,,,,,Timber,,1.5,False,,wide (>1.5m),,
1711,data/citywide/images/253/48112/73499__AST_EX_20240913_141001.jpeg,True,48112,253,Trail Bridge,"WOOD CONSTRUCTION, OLD BRIDGE STRUCTURE REMOVED AND NEW UNIT BUILT IN 1995 RR&A PROJECT",73499,AST_EX_20240913_141001.jpeg,Timber,Truss,Timber,,No,,,,,Timber,,1.5,False,,wide (>1.5m),,
