image_path,file_exists,asset_id,profile_id,profile_name,description,file_id,filename,attr_abutment_material,attr_bridge_type,attr_decking_material,attr_fall_height,attr_has_edge_guard,attr_has_pedestrian_railing,attr_length,"attr_material_frame,_tank,_body",attr_number_of_steps,attr_structure_material,attr_structure_position,attr_width,Length measured by staff,length_bin,width_bin,fall_height_bin,steps_bin
data/citywide/images/253/46926/55579__IMG_8936.JPG,True,46926,253,Trail Bridge,"STRINGERS 10""X10""X18FT DECKINGROUGH CUT 2X6 3FEET WIDE ;",55579,IMG_8936.JPG,,Beam,Timber,,No,No railings,6.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
data/citywide/images/253/47182/34369__IMG_8322.JPG,True,47182,253,Trail Bridge,First Footbridge Across Creek Was Replaced In 1996. 48 Feet Long $20000.,34369,IMG_8322.JPG,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/47389/52500__AST_EX_20220705_141353.jpeg,True,47389,253,Trail Bridge,Beaumont Service Area,52500,AST_EX_20220705_141353.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/47533/45532__Otter_Marsh_South.JPG,True,47533,253,Trail Bridge,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,45532,Otter Marsh South.JPG,Concrete,Beam,Timber,,Yes,,,,,Timber,,1.5,False,,wide (>1.5m),,
data/citywide/images/253/47533/77335__AST_EX_20241109_131920.jpeg,True,47533,253,Trail Bridge,Small footbridge at North end OF BIG BAR LAKE ON OTTER MARSH LOOP TRAIL.,77335,AST_EX_20241109_131920.jpeg,Concrete,Beam,Timber,,Yes,,,,,Timber,,1.5,False,,wide (>1.5m),,
data/citywide/images/253/47637/89365__AST_EX_20251010_120542.jpeg,True,47637,253,Trail Bridge,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",89365,AST_EX_20251010_120542.jpeg,,Beam,Timber,,No,,10.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
data/citywide/images/253/47637/89367__AST_EX_20251010_120124.jpeg,True,47637,253,Trail Bridge,"OVER PHELIX CREEK up from original bridge, GOAT LOOKOUT TRAIL; Specifications: 2X6 PLANKS ON CEDAR LOG. 4X4 POSTS 1/2"" POLY ROPE HANDRAIL",89367,AST_EX_20251010_120124.jpeg,,Beam,Timber,,No,,10.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
data/citywide/images/253/48111/13824__MI_20210810_083230.jpg,True,48111,253,Trail Bridge,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,13824,MI_20210810_083230.jpg,Timber,Truss,Timber,,No,,,,,Timber,,1.5,False,,wide (>1.5m),,
data/citywide/images/253/48111/73467__AST_EX_20240913_124155.jpeg,True,48111,253,Trail Bridge,29 - Isaac River; Item description: ALUMINUM AND CEDAR PORTAGE BRIDGE; Comments: CASCADE BRIDGE,73467,AST_EX_20240913_124155.jpeg,Timber,Truss,Timber,,No,,,,,Timber,,1.5,False,,wide (>1.5m),,
data/citywide/images/253/48112/73499__AST_EX_20240913_141001.jpeg,True,48112,253,Trail Bridge,"WOOD CONSTRUCTION, OLD BRIDGE STRUCTURE REMOVED AND NEW UNIT BUILT IN 1995 RR&A PROJECT",73499,AST_EX_20240913_141001.jpeg,Timber,Truss,Timber,,No,,,,,Timber,,1.5,False,,wide (>1.5m),,
data/citywide/images/253/48296/17697__AST_EX_20210823_113827.jpeg,True,48296,253,Trail Bridge,Brandywine Falls Day Use; Additional notes: ZT; Item description: ACROSS BRANDYWINE CREEK; Comments: REPLACEMENT OF OLD STRUCTURE,17697,AST_EX_20210823_113827.jpeg,,Beam,Timber,,Yes,,15.0,Timber/Wood,,Timber,,1.0,True,medium (6-20m),standard (0.9-1.5m),,
data/citywide/images/253/48340/10720__AST_EX_20210805_150953.jpeg,True,48340,253,Trail Bridge,Bridal Veil Falls Day Use,10720,AST_EX_20210805_150953.jpeg,,,Timber,,Yes,No railings,4.0,,,Steel,,1.0,True,short (<6m),standard (0.9-1.5m),,
data/citywide/images/253/48344/10723__AST_EX_20210805_143944.jpeg,True,48344,253,Trail Bridge,"Bridal Veil Falls Day Use; Additional notes: y; Specifications: 4 FOOT BRIDGES, 2.5M X 6M ; Comments: GOOD",10723,AST_EX_20210805_143944.jpeg,,,Timber,,No,,5.0,,,Steel,,1.5,True,short (<6m),wide (>1.5m),,
data/citywide/images/253/48488/10641__AST_EX_20210804_132904.jpeg,True,48488,253,Trail Bridge,Burgoyne Bay - Trails; Additional notes: Length unknown;,10641,AST_EX_20210804_132904.jpeg,,Beam,,,No,,,Timber/Wood,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48488/59937__AST_EX_20220818_102517.jpeg,True,48488,253,Trail Bridge,Burgoyne Bay - Trails; Additional notes: Length unknown;,59937,AST_EX_20220818_102517.jpeg,,Beam,,,No,,,Timber/Wood,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48627/23628__AST_EX_20210924_094144.jpeg,True,48627,253,Trail Bridge,"Cape Scott Backcountry; Item description: BRIDGE AT HANSON LAGOON; Specifications: CCA PRESSURE TREATED STRINGERS AND DECKING. 3-6""X12"" CCA FIR STRINGERROUGH 2""X6"" CEDAR DECKING ;",23628,AST_EX_20210924_094144.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48627/77393__20241106_142001.jpg,True,48627,253,Trail Bridge,"Cape Scott Backcountry; Item description: BRIDGE AT HANSON LAGOON; Specifications: CCA PRESSURE TREATED STRINGERS AND DECKING. 3-6""X12"" CCA FIR STRINGERROUGH 2""X6"" CEDAR DECKING ;",77393,20241106_142001.jpg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48693/21314__AST_EX_20210910_124848.jpeg,True,48693,253,Trail Bridge,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,21314,AST_EX_20210910_124848.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48693/69375__AST_EX_20240607_105725.jpeg,True,48693,253,Trail Bridge,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,69375,AST_EX_20240607_105725.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48693/69391__AST_EX_20240607_105715.jpeg,True,48693,253,Trail Bridge,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,69391,AST_EX_20240607_105715.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48693/69392__AST_EX_20240607_105533.jpeg,True,48693,253,Trail Bridge,Carmanah Back Country; Item description: FOOTBRIDGE (THREE SISTERS TRAIL); Specifications: TREATED LUMBER BRIDGE. ;,69392,AST_EX_20240607_105533.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48694/72701__AST_EX_20240607_162551.jpeg,True,48694,253,Trail Bridge,Carmanah Back Country,72701,AST_EX_20240607_162551.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/48695/72702__AST_EX_20240607_162602.jpeg,True,48695,253,Trail Bridge,Carmanah Back Country; BRIDGE #3; .8 METER WIDE BRIDGE 10CM X 16CM STRINGERS 10CM X 30CM TREATED BAS,72702,AST_EX_20240607_162602.jpeg,,,,,No,No railings,,,,,,1.0,False,,standard (0.9-1.5m),,
data/citywide/images/253/49057/52758__AST_EX_20220707_144812.jpeg,True,49057,253,Trail Bridge,Champion Lakes Backcountry; Item description: BRIDGE #3; Specifications: REPLACED 2001 LAKE INLET STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,52758,AST_EX_20220707_144812.jpeg,Steel,Beam,Timber,,No,No railings,19.0,Metal,,Steel,,0.75,True,medium (6-20m),narrow (<0.9m),,
data/citywide/images/253/49057/52759__AST_EX_20220707_144747.jpeg,True,49057,253,Trail Bridge,Champion Lakes Backcountry; Item description: BRIDGE #3; Specifications: REPLACED 2001 LAKE INLET STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,52759,AST_EX_20220707_144747.jpeg,Steel,Beam,Timber,,No,No railings,19.0,Metal,,Steel,,0.75,True,medium (6-20m),narrow (<0.9m),,
data/citywide/images/253/49057/52773__AST_EX_20220707_144719.jpeg,True,49057,253,Trail Bridge,Champion Lakes Backcountry; Item description: BRIDGE #3; Specifications: REPLACED 2001 LAKE INLET STEEL I-BEAM CEDAR DECKING RECYCLED PLASTIC SILLS ; Comments: FAIR,52773,AST_EX_20220707_144719.jpeg,Steel,Beam,Timber,,No,No railings,19.0,Metal,,Steel,,0.75,True,medium (6-20m),narrow (<0.9m),,
