asset_id,timestamp,model,response,latency_s,has_edge_guard_value,has_edge_guard_confidence,parse_error,raw_response,error,traceback
47664,2026-06-08T05:29:51.378963,gemini-3-flash-preview,"```json
{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}
```",18.044,Yes,1.0,,,,
46935,2026-06-08T05:29:54.844937,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",3.447,No,1.0,,,,
48119,2026-06-08T05:30:29.239467,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",34.388,No,1.0,,,,
48121,2026-06-08T05:30:34.851552,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",5.595,Yes,1.0,,,,
48637,2026-06-08T05:31:09.702874,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",34.845,No,1.0,,,,
48934,2026-06-08T05:31:16.174377,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",6.464,No,1.0,,,,
48634,2026-06-08T05:31:18.900990,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.722,No,1.0,,,,
48936,2026-06-08T05:31:23.207707,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.305,No,1.0,,,,
51255,2026-06-08T05:31:35.213401,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",12.004,No,1.0,,,,
51603,2026-06-08T05:31:50.140433,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",14.922,No,1.0,,,,
52128,2026-06-08T05:32:18.921609,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 0.95
    }
}",28.777,No,0.95,,,,
51942,2026-06-08T05:32:31.832629,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",12.907,No,1.0,,,,
52469,2026-06-08T05:32:34.476051,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.63,No,1.0,,,,
52245,2026-06-08T05:32:36.828750,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.351,No,1.0,,,,
53556,2026-06-08T05:32:45.952373,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",9.122,No,1.0,,,,
55645,2026-06-08T05:33:06.218181,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",20.25,No,1.0,,,,
56209,2026-06-08T05:33:29.068537,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",22.848,Yes,1.0,,,,
56345,2026-06-08T05:33:55.172324,gemini-3-flash-preview,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 0.9
    }
}
```",26.097,No,0.9,,,,
56778,2026-06-08T05:34:08.283633,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 0.95
    }
}",13.109,No,0.95,,,,
58173,2026-06-08T05:34:14.846531,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",6.561,No,1.0,,,,
58824,2026-06-08T05:34:45.365914,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",30.493,Yes,1.0,,,,
58826,2026-06-08T05:34:48.924260,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 0.95
    }
}",3.543,No,0.95,,,,
58825,2026-06-08T05:34:51.794500,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.869,No,1.0,,,,
61005,2026-06-08T05:35:03.882034,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",12.083,No,1.0,,,,
61734,2026-06-08T05:35:06.129579,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.242,No,1.0,,,,
62067,2026-06-08T05:35:14.302015,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",8.17,No,1.0,,,,
61958,2026-06-08T05:35:19.033849,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.726,No,1.0,,,,
62447,2026-06-08T05:35:23.335952,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.301,No,1.0,,,,
63070,2026-06-08T05:36:16.894854,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",53.556,No,1.0,,,,
64207,2026-06-08T05:36:19.447841,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.541,No,1.0,,,,
64261,2026-06-08T05:36:39.936253,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",20.487,No,1.0,,,,
64274,2026-06-08T05:36:42.999371,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",3.051,No,1.0,,,,
64273,2026-06-08T05:36:45.764396,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",2.764,No,1.0,,,,
64887,2026-06-08T05:36:56.369149,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",10.602,No,1.0,,,,
65422,2026-06-08T05:37:05.119224,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",8.743,No,1.0,,,,
64889,2026-06-08T05:37:10.969875,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",5.849,No,1.0,,,,
65428,2026-06-08T05:37:22.117607,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",11.145,No,1.0,,,,
66040,2026-06-08T05:37:26.112700,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",3.994,Yes,1.0,,,,
65430,2026-06-08T05:38:04.415446,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",38.3,No,1.0,,,,
66539,2026-06-08T05:38:27.660858,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",23.239,No,1.0,,,,
81875,2026-06-08T05:38:35.128923,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.446,No,1.0,,,,
81411,2026-06-08T05:38:39.124534,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",3.994,No,1.0,,,,
81887,2026-06-08T05:38:46.187279,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.056,No,1.0,,,,
81889,2026-06-08T05:38:49.675794,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",3.487,No,1.0,,,,
83898,2026-06-08T05:38:56.332210,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",6.653,No,1.0,,,,
83934,2026-06-08T05:39:04.011606,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.678,No,1.0,,,,
83938,2026-06-08T05:39:08.823540,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.807,No,1.0,,,,
83941,2026-06-08T05:39:13.223950,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.398,No,1.0,,,,
83943,2026-06-08T05:39:17.425328,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.198,No,1.0,,,,
83944,2026-06-08T05:39:21.095049,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",3.662,No,1.0,,,,
83945,2026-06-08T05:39:25.098649,gemini-3-flash-preview,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",4.001,No,1.0,,,,
