asset_id,timestamp,model,response,latency_s,has_edge_guard_value,has_edge_guard_confidence,parse_error,raw_response,error,traceback
47664,2026-06-08T07:17:00.772600,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}
```",42.154,Yes,1.0,,,,
46935,2026-06-08T07:17:19.089227,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",18.297,No,1.0,,,,
48119,2026-06-08T07:17:30.954298,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",11.858,No,1.0,,,,
48121,2026-06-08T07:17:36.694482,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",5.738,Yes,1.0,,,,
48637,2026-06-08T07:17:45.799089,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",9.098,No,1.0,,,,
48934,2026-06-08T07:17:52.966246,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.166,No,1.0,,,,
48634,2026-06-08T07:18:00.447908,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.481,No,1.0,,,,
48936,2026-06-08T07:18:09.967662,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",9.517,No,1.0,,,,
51255,2026-06-08T07:18:17.242340,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",7.273,No,1.0,,,,
51603,2026-06-08T07:18:26.253669,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",9.0,No,1.0,,,,
52128,2026-06-08T07:18:36.702157,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",10.443,Yes,1.0,,,,
51942,2026-06-08T07:18:43.583219,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",6.875,No,1.0,,,,
52469,2026-06-08T07:18:52.255618,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",8.671,No,1.0,,,,
52245,2026-06-08T07:18:59.323540,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.067,No,1.0,,,,
53556,2026-06-08T07:19:11.506288,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",12.18,No,1.0,,,,
55645,2026-06-08T07:19:19.291745,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.785,No,1.0,,,,
56209,2026-06-08T07:19:27.286812,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}
```",7.994,Yes,1.0,,,,
56345,2026-06-08T07:19:36.187054,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}
```",8.894,Yes,1.0,,,,
56778,2026-06-08T07:19:55.954950,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",19.766,Yes,1.0,,,,
58173,2026-06-08T07:20:25.699944,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",29.744,Yes,1.0,,,,
58824,2026-06-08T07:21:14.905032,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 1.0
    }
}",49.18,Yes,1.0,,,,
58826,2026-06-08T07:22:21.663617,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",66.752,No,1.0,,,,
58825,2026-06-08T07:22:39.480612,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",17.815,No,1.0,,,,
61005,2026-06-08T07:22:48.174596,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",8.693,No,1.0,,,,
61734,2026-06-08T07:22:55.044952,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",6.869,No,1.0,,,,
62067,2026-06-08T07:23:03.240077,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",8.194,No,1.0,,,,
61958,2026-06-08T07:23:11.637290,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",8.395,No,1.0,,,,
62447,2026-06-08T07:23:20.032830,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""Yes"",
        ""confidence"": 0.95
    }
}",8.394,Yes,0.95,,,,
63070,2026-06-08T07:23:28.739473,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",8.704,No,1.0,,,,
64207,2026-06-08T07:23:36.722162,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",7.981,No,1.0,,,,
64261,2026-06-08T07:23:46.860525,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",10.137,No,1.0,,,,
64274,2026-06-08T07:23:56.131180,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",9.269,No,1.0,,,,
64273,2026-06-08T07:24:04.581720,gemma-4-26b-a4b-it,"{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}",8.449,No,1.0,,,,
64887,2026-06-08T07:24:15.132801,gemma-4-26b-a4b-it,"```json
{
    ""has_edge_guard"": {
        ""value"": ""No"",
        ""confidence"": 1.0
    }
}
```",10.545,No,1.0,,,,
